feature_group,density_bin,perturbation_type,strength,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,high_density,important,0.01,5,120021.6,27.059933481071234,120000.0,120063.0,1.0,0.0,1.0,1.0,0.000468180890499396,0.0007862220863771692,0.0,0.0020325711191636468,0.00018160668915823233,0.00031090058786870914,0.0,0.0007997001124578283,0.00016494939397725851,0.0002614352541274452,0.0,0.0006747469698862926,0.0007420528794421277,0.0012744055767237434,0.0,0.0032763386915122352,0.00021853798247219595,0.00034583393993443837,0.0,0.0008926209997355197,0.0034380072803324854,0.0025794489937296804,0.0005284874775431511,0.007516131114160087,0.002997425876601521,0.0030339297811845917,-0.0006174711390128634,0.007509362478734663,-0.002210891753300483,0.002187424086311479,-0.00586218872323119,0.00015752752962716564,0.9995983421632566,7.094581330375106e-06,0.9995883024408476,0.9996070420459859,0.9995523923505919,5.754933756038449e-05,0.9994407952021533,0.9996049638472645,4.594981266470288e-05,6.0349499305258287e-05,2.0781987214446573e-06,0.00016485096215645978,4.594981266470288e-05,6.0349499305258287e-05,2.0781987214446573e-06,0.00016485096215645978
header,high_density,important,0.05,5,120021.6,27.059933481071234,120000.0,120063.0,4.0,0.0,4.0,4.0,0.028613413372891344,0.012861982133549655,0.011366666666666667,0.05134166666666667,0.004822566427199838,0.0011946852678198449,0.0034833333333333335,0.0067,0.022349372061117576,0.013627527262554222,0.0017833333333333334,0.0447,0.01954363012624915,0.004672212179258353,0.014234048906732142,0.026848326988579443,0.029667179139847087,0.018190063263426287,0.0023763519665978192,0.05962053596238705,0.06245272680841546,0.013696094878952327,0.050228495596946934,0.08780200529863955,0.010306463576018781,0.02487329066192093,-0.02260652159420679,0.04971935851438885,-0.05025391962192346,0.014263570130531396,-0.07398526613013862,-0.03477256792155947,0.9995983421632566,7.094581330375106e-06,0.9995883024408476,0.9996070420459859,0.9961279458780063,0.0024000648541398144,0.99148938594942,0.9984072419970665,0.0034703962852500768,0.0024041935661812982,0.0011866955184780537,0.008117656096565895,0.0034703962852500768,0.0024041935661812982,0.0011866955184780537,0.008117656096565895
header,high_density,important,0.1,5,120021.6,27.059933481071234,120000.0,120063.0,8.0,0.0,8.0,8.0,0.041357365429257345,0.013904580510037897,0.02801862355596645,0.0625682035903203,0.021758678907451718,0.019989804305512497,0.004997376377401864,0.055062684826523385,0.01602261162889483,0.009773822661564745,0.0,0.027425,0.08846115378944644,0.08155971567851976,0.01990776070871628,0.22558957032183202,0.021280486691142346,0.013008692608094124,0.0,0.03657926619168825,0.11945179020938061,0.032542967038268755,0.08018255797190561,0.17932179766278705,-0.008086729340576209,0.05385418894849453,-0.058417443610649045,0.07503911001881843,-0.09342017147722168,0.04461402894572655,-0.15987756152366456,-0.01917266429182424,0.9995983421632566,7.094581330375106e-06,0.9995883024408476,0.9996070420459859,0.9812583236833211,0.004426049259632181,0.9750636061957783,0.9885167453282185,0.01834001847993554,0.004429848957254253,0.011080037321376413,0.024543435850207684,0.01834001847993554,0.004429848957254253,0.011080037321376413,0.024543435850207684
header,high_density,random,0.01,5,120021.6,27.059933481071234,120000.0,120063.0,1.0,0.0,1.0,1.0,0.001819879855537784,0.0005903822898418493,0.0013345833333333332,0.002914303324088187,0.0004656766340516099,0.00010389417460046499,0.00037875,0.0006633333333333333,0.000689476883770876,0.0007093742268064995,4.083333333333333e-05,0.0019906215903317424,0.0018868278460131816,0.0003996801293918125,0.0016010850036988762,0.0026581179456354772,0.0009162647380713708,0.0009475070824279604,5.441179736602482e-05,0.002657799919932387,0.004557208408005955,0.0019331134450066721,0.002902478994987686,0.008322315716630285,0.000827020867483197,0.0010193887264326716,-0.00033507759346257686,0.002074205717982162,-0.001979194147420887,0.001057403007452306,-0.00381078516075301,-0.0006093979376889665,0.9995983421632566,7.094581330353621e-06,0.9995883024408478,0.9996070420459862,0.9995274886395326,4.548157626459444e-05,0.9994712872577892,0.9996046122743772,7.085352372401599e-05,4.162239995322336e-05,1.0338899326167716e-06,0.00012549539180555235,7.085352372401599e-05,4.162239995322336e-05,1.0338899326167716e-06,0.00012549539180555235
header,high_density,random,0.05,5,120021.6,27.059933481071234,120000.0,120063.0,4.0,0.0,4.0,4.0,0.008140028788524763,0.0013641324097600366,0.0062137500000000005,0.00974,0.0038230350699228733,0.0014147521865953885,0.001570841974629986,0.005207916666666667,0.0021726415310327485,0.0012854531474243334,0.0007004166666666667,0.0042819186593704974,0.015591748784705001,0.005860156498565144,0.006257672782773151,0.020939558376847207,0.002883320501919511,0.0017132330124860803,0.0009342106725649946,0.005717049953293892,0.01519370281670909,0.002251589193476964,0.01228272886085088,0.018540149765007344,0.003879006189504834,0.00453044927023217,-0.0032985445905875793,0.008678931407619857,-0.008279671247133058,0.0014328654845666112,-0.009687620764728731,-0.006083790086788749,0.9995983421632566,7.094581330353621e-06,0.9995883024408478,0.9996070420459862,0.9992130603642861,0.00014915907244464165,0.9989233602705294,0.9993482615062262,0.0003852817989703317,0.00014426414052398515,0.0002573846580836314,0.000664942170318128,0.0003852817989703317,0.00014426414052398515,0.0002573846580836314,0.000664942170318128
header,high_density,random,0.1,5,120021.6,27.059933481071234,120000.0,120063.0,8.0,0.0,8.0,8.0,0.021054164277897757,0.00296800083780645,0.0186456277121178,0.02686333333333333,0.012050154240690253,0.0028540786867580765,0.007148152776042316,0.015417916666666667,0.005438969953172279,0.00253870283383289,0.0019712500000000003,0.00945353825648715,0.04901370531175712,0.012091901955995967,0.029285689908194263,0.06517596082713918,0.007203407817599701,0.003340571989219657,0.002626757278965954,0.01250606100678833,0.02961258440882608,0.0031193687612073324,0.025887912259176315,0.03490856347539846,0.005131458920942773,0.00839906692306708,-0.010646341880956417,0.013633791701428108,-0.014806455222593818,0.00312313374273888,-0.02086185758820961,-0.011990172519418526,0.9995983421632566,7.094581330353621e-06,0.9995883024408478,0.9996070420459862,0.9988188072615735,0.00018445344636644725,0.998497299358322,0.9990352902714846,0.000779534901683121,0.0001800817145527387,0.0005717517745011224,0.0010910030825256266,0.000779534901683121,0.0001800817145527387,0.0005717517745011224,0.0010910030825256266
header,low_density,important,0.01,5,120144.8,133.8467780710466,120000.0,120320.0,1.0,0.0,1.0,1.0,0.04451484544611489,0.03325881821511274,0.0035499704169131923,0.07574166666666667,0.02938541857289817,0.023631041821213485,0.0005660628662759723,0.05296666666666667,0.0007444410188351756,0.0008726065775972679,2.493351063829787e-05,0.0022809003729355355,0.06928129140744477,0.05570887874117381,0.001339400027575883,0.12319500707460314,0.0012953440507934657,0.0015134131455418456,4.280821917808219e-05,0.0039504606467797975,0.04510083910322421,0.03359228556361344,0.0030082634250686033,0.07538465618991425,0.0425844072558581,0.03645473249351618,-0.0031741734563289522,0.0752438300461979,-0.022742822639748334,0.017536475993650914,-0.03801036886844756,-0.00045894624238107247,0.9534451413966408,0.002179708368067325,0.9512326355752662,0.9564579067412435,0.9414588729100639,0.010460349977034928,0.929505362416792,0.9555563793289577,0.011986268486576867,0.009884893565882014,3.17576450667989e-05,0.021727273158474114,0.011986268486576867,0.009884893565882014,3.17576450667989e-05,0.021727273158474114
header,low_density,important,0.05,5,120144.8,133.8467780710466,120000.0,120320.0,4.0,0.0,4.0,4.0,0.21140685980576568,0.011629833241701167,0.19434628975265017,0.22781748670212765,0.09514037568990613,0.030095713643862827,0.04213676990230721,0.13363333333333333,0.062012852686713374,0.03171721009691573,0.013558333333333334,0.11197672001662856,0.22355681566445934,0.06955867187993846,0.0991858462501957,0.3108173589440428,0.10764944422695247,0.05495658104175011,0.023784115660678,0.19468335766634384,0.18796092794414007,0.006669105519274411,0.17550956030487005,0.19445659280357155,0.06371037077169532,0.05683699187388707,-0.035360065719148424,0.13900736701605748,-0.06527790986929513,0.0046319059795628436,-0.07374798411936496,-0.06072922057350725,0.9534451413966408,0.002179708368067325,0.9512326355752662,0.9564579067412435,0.8674829062201652,0.01133408133698141,0.8531646475911061,0.8859359464895759,0.08596223517647579,0.01141085021449278,0.06669327326627061,0.09806798798416005,0.08596223517647579,0.01141085021449278,0.06669327326627061,0.09806798798416005
header,low_density,important,0.1,5,120144.8,133.8467780710466,120000.0,120320.0,8.0,0.0,8.0,8.0,0.27778460968959173,0.06526523382520241,0.22533244680851064,0.39680174480554076,0.17037539654078285,0.08410388919221413,0.0926529255319149,0.31374034363345765,0.04572842761777483,0.032779104499870544,0.00032465370271710174,0.07624194554146747,0.4007032312314026,0.19837883060677464,0.22189490445859872,0.7423624652839331,0.07943008939748875,0.05680347242401916,0.0005622918438847157,0.13255467699735468,0.2580564656854493,0.06317944985055536,0.20552168064971632,0.37976266934713376,0.1320672066579123,0.13630249337652858,0.008449821502112063,0.3754003861195474,-0.07190293236196521,0.0711389360251561,-0.14390223341805178,0.061069815820941564,0.9534451413966408,0.002179708368067325,0.9512326355752662,0.9564579067412435,0.8375544457375474,0.0077164301728008654,0.8256504669424662,0.8467714224267329,0.11589069565909357,0.0062995039202986035,0.10881671454729158,0.12558216863279992,0.11589069565909357,0.0062995039202986035,0.10881671454729158,0.12558216863279992
header,low_density,random,0.01,5,120144.8,133.8467780710466,120000.0,120320.0,1.0,0.0,1.0,1.0,0.023728920758162138,0.010911640000140898,0.01416780434203516,0.04454247007978723,0.009502401327637104,0.0030256649391842646,0.004903103356419818,0.01319564494680851,0.005435183806763756,0.004908289250052067,0.0015308333333333335,0.015057762632978722,0.02236299422052918,0.00717725390769514,0.011601567885914632,0.03160230891719745,0.009391717298218237,0.00839785021918339,0.0026853976932185303,0.02585259703196347,0.023504813070239765,0.009923358357947389,0.015089132212744702,0.04247510344847941,0.008018837968752041,0.0059875808606362725,0.000757053163469167,0.01584935221188488,-0.0019163465181947573,0.0013741434824944244,-0.0034029823881964313,0.000364409568502851,0.9534451413966408,0.002179708368067338,0.951232635575266,0.9564579067412433,0.9506681243309382,0.0029343278725224736,0.9461890214285926,0.9535974748818351,0.0027770170657027016,0.001396153128881917,0.0007162929802327245,0.0050436141466736585,0.0027770170657027016,0.001396153128881917,0.0007162929802327245,0.0050436141466736585
header,low_density,random,0.05,5,120144.8,133.8467780710466,120000.0,120320.0,4.0,0.0,4.0,4.0,0.06838554445811502,0.006082546253622226,0.0625128823138298,0.07852458333333334,0.030454646660737245,0.0065445920191477235,0.022769697473404252,0.03969091924233964,0.013827446564084338,0.006982971207233016,0.004839959667002775,0.022949075036374975,0.07153406024363347,0.01480382171204134,0.054531249999999996,0.09226946919798526,0.024043987740644295,0.012172990055174488,0.008493587400008775,0.03989939143381662,0.065895910317809,0.006468351381268563,0.05746984063315247,0.07662788695234082,0.027853439169997395,0.017643332123156726,0.0021555419687092486,0.05293624925132471,-0.006892800298430551,0.002118723044009002,-0.009770585947888988,-0.004306563170576542,0.9534451413966408,0.002179708368067338,0.951232635575266,0.9564579067412433,0.943639624604385,0.0029236599476713406,0.9382929280703907,0.9469657046875213,0.00980551679225581,0.0018236724273036045,0.007715555132737334,0.013024879866433414,0.00980551679225581,0.0018236724273036045,0.007715555132737334,0.013024879866433414
header,low_density,random,0.1,5,120144.8,133.8467780710466,120000.0,120320.0,8.0,0.0,8.0,8.0,0.11638902356012734,0.012288141907275982,0.10163123640636329,0.1376744959467886,0.05404329490863352,0.0131497455194713,0.03141690530101225,0.06791375000000001,0.026994148368764837,0.011632633719178142,0.012153333333333332,0.04493373734683005,0.12703333306095602,0.030434908944060167,0.07433768638342295,0.15796038222239453,0.04684837705961262,0.02003617497441534,0.02131945561126785,0.07782407474156203,0.11063293555485679,0.011980312187342461,0.09768223486002588,0.1314900074176268,0.04677294959775075,0.025040047118887323,0.002054333938025437,0.07765226044324396,-0.007410562176453172,0.005647720860415634,-0.01289114135560683,0.0028170650490179786,0.9534451413966408,0.002179708368067338,0.951232635575266,0.9564579067412433,0.9339130393669235,0.0020192932797582605,0.9318952123423252,0.9377666017035248,0.019532102029717318,0.0025983749808125007,0.01755344870460866,0.024562694398918276,0.019532102029717318,0.0025983749808125007,0.01755344870460866,0.024562694398918276
header,mid_density,important,0.01,5,239833.6,150.8636470459335,239617.0,240000.0,1.0,0.0,1.0,1.0,0.034243455613678184,0.024797389685230656,0.0031355935737010427,0.057491747246647774,0.026439897236695813,0.021121764722195457,0.0005295483827925964,0.0470626040723321,0.0006859934902283463,0.000916391658834755,0.0,0.0023166763194846646,0.03975226480581554,0.03177091984948874,0.0007940974176202088,0.07064859886856993,0.0020300159657243655,0.0026996470631552995,0.0,0.006809552969993876,0.03931678790503607,0.03053881715295512,0.0020594625293795608,0.0693016245768327,0.03822612944926831,0.03180019084774996,-0.0013121431376312987,0.06925730709292308,-0.02554094231618209,0.020459431699084107,-0.044363822631887005,-0.00033643059460154815,0.9719822970241131,0.0008833682380564338,0.9709191775087597,0.973364679828465,0.9613099695333778,0.008462113382483842,0.9519967958259083,0.972205072367281,0.010672327490735278,0.008715493886712675,0.00010591181791530513,0.020127962868470073,0.010672327490735278,0.008715493886712675,0.00010591181791530513,0.020127962868470073
header,mid_density,important,0.05,5,239833.6,150.8636470459335,239617.0,240000.0,4.0,0.0,4.0,4.0,0.1618616476333175,0.019284818808362757,0.13328188549379497,0.18160075666981945,0.08298162784334802,0.03230273485499665,0.027348002920012514,0.127325,0.050696847826851285,0.022702687584579936,0.016304166666666668,0.08297424131817707,0.1251178198422238,0.04914076442311733,0.04084302597232692,0.192842402862534,0.15157279244441774,0.06870097309679946,0.04798930573099989,0.2511236238763761,0.19130108313729305,0.026642501727646574,0.14322646546891593,0.21746710841450453,0.09882356379696582,0.0571871445457645,0.00030260882477582506,0.17721924377234025,-0.11763020171808067,0.025336693482737354,-0.13966680522074254,-0.07032655121976994,0.9719822970241131,0.0008833682380564338,0.9709191775087597,0.973364679828465,0.8870579164188767,0.0227776404285446,0.8513912353257453,0.9140914136995761,0.0849243806052363,0.022813915573020496,0.059273266128888835,0.12096584003714361,0.0849243806052363,0.022813915573020496,0.059273266128888835,0.12096584003714361
