feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,0.0021416647916822915,0.003318534387218092,0.0,0.008716666666666666,0.03040096000753146,0.022799106973279144,0.008520833333333333,0.07069196121650508,0.03983302478034906,0.02282258325369899,0.014033333333333333,0.07330772243564637,0.002037493915393296,0.0021396687220366995,-0.0008754016421852473,0.00452882547570288,0.01416002010582984,0.011254939696235667,0.0005570279866053962,0.025543305634001534,0.01084886180133251,0.007526487153575412,0.0013672505064723506,0.018456053018058194,0.002037493915393296,0.0021396687220366995,-0.0008754016421852473,0.00452882547570288,0.01416002010582984,0.011254939696235667,0.0005570279866053962,0.025543305634001534,0.01084886180133251,0.007526487153575412,0.0013672505064723506,0.018456053018058194,0.03769135998866676,0.020871429662864194,0.013141557153690387,0.06459105576897971,12.42795097771225,3.1821416734938905,8.410063759347576,16.192307692307693,0.008811367885939215,0.005427587940645033,0.002242652148657598,0.01400887676843554,0.008811367885939215,0.005427587940645033,0.002242652148657598,0.01400887676843554
header,important,0.05,5,0.014001644416852083,0.0021793822011485276,0.0113,0.0174,0.17715658742109952,0.011614278744640633,0.15969233205138356,0.18774661561089837,0.17768880816270977,0.01390925838882169,0.1585820118165682,0.19802334980541828,0.0014970732836245837,0.0004007338694711956,0.0008410651445670547,0.0020966441618642806,0.03696209114107611,0.003414651449193449,0.032227896888026186,0.04149428593767546,0.039417511422471296,0.00241428504857444,0.036053612600875695,0.04357385960460103,0.0014970732836245837,0.0004007338694711956,0.0008410651445670547,0.0020966441618642806,0.03696209114107611,0.003414651449193449,0.032227896888026186,0.04149428593767546,0.039417511422471296,0.00241428504857444,0.036053612600875695,0.04357385960460103,0.16368716374585768,0.013477409332136737,0.1431070118165682,0.18062334980541828,12.960294440109184,2.0041852965117086,10.247625965529448,15.339970501474928,0.03792043813884671,0.0026624381206311926,0.034599986441324004,0.042732794460033974,0.03792043813884671,0.0026624381206311926,0.034599986441324004,0.042732794460033974
header,important,0.1,5,0.0673148881120435,0.013404317158306782,0.04755,0.08976666666666666,0.24975351435302598,0.03514137642402461,0.21994258309409623,0.314801311672132,0.22935354337324965,0.026062435705765812,0.19201506654111217,0.27279166666666665,0.021150591954881337,0.00810618825327693,0.013961717654192629,0.03676601121181322,0.09219234938893113,0.02734279551706863,0.059190816570030336,0.1378938351306599,0.1049329607279205,0.02582017889442491,0.07301451706453654,0.1435866449546529,0.021150591954881337,0.00810618825327693,0.013961717654192629,0.03676601121181322,0.09219234938893113,0.02734279551706863,0.059190816570030336,0.1378938351306599,0.1049329607279205,0.02582017889442491,0.07301451706453654,0.1435866449546529,0.16203865526120614,0.022568733510594432,0.12488229264756127,0.1880313701552487,3.5221842294976815,0.7438025564480725,2.8602284011916583,4.954392642591981,0.08378236877303916,0.02569041641350613,0.05677616128570184,0.12962492730046027,0.08378236877303916,0.02569041641350613,0.05677616128570184,0.12962492730046027
header,random,0.01,5,0.0010350821326488946,0.0004858592246649868,0.0005441666666666668,0.0019137499999999999,0.007927658625370237,0.0023548864113737042,0.003907307947116446,0.011077962824845102,0.009370270430385302,0.0021550947344653603,0.005553703719135673,0.012056149532087232,0.00014759190449230465,0.00014152257663305008,-8.103622800809118e-06,0.0003444335831456591,0.0016427063131955733,0.0009293404164524023,0.0005293493033978969,0.0032517677760677266,0.0016532659386981352,0.000587069350611671,0.0005845570084143214,0.002377930143820228,0.00014759190449230465,0.00014152257663305008,-8.103622800809118e-06,0.0003444335831456591,0.0016427063131955733,0.0009293404164524023,0.0005293493033978969,0.0032517677760677266,0.0016532659386981352,0.000587069350611671,0.0005845570084143214,0.002377930143820228,0.008335188297736407,0.001825576637060867,0.005009537052469006,0.010142399532087232,10.087938002797355,2.7672536173987385,6.29975155171116,13.347021399652977,0.0015056740342058307,0.0005078301669263502,0.0005926606312151306,0.0020927332900147365,0.0015056740342058307,0.0005078301669263502,0.0005926606312151306,0.0020927332900147365
header,random,0.05,5,0.006020490376469085,0.0012033753651048053,0.004541250000000001,0.00778875,0.031806251170196705,0.004973389077947662,0.024811770049041865,0.04025145833333333,0.0360975225699508,0.005180894919324711,0.02802351647069608,0.04402958333333333,0.0007834886345017578,0.00022111092361131276,0.0005015834575506694,0.001133102583103851,0.006789097083601643,0.0012210545848280732,0.0056720420718449575,0.009076675223652136,0.006076440999840355,0.001461034043753472,0.004037937720493268,0.008472610391648316,0.0007834886345017578,0.00022111092361131276,0.0005015834575506694,0.001133102583103851,0.006789097083601643,0.0012210545848280732,0.0056720420718449575,0.009076675223652136,0.006076440999840355,0.001461034043753472,0.004037937720493268,0.008472610391648316,0.030077032193481724,0.004231415523868074,0.02298976647069608,0.03624083333333333,6.101461484313271,0.8152014006634004,5.47306237798502,7.663116248964737,0.005292952365338598,0.0014529980851888532,0.0034402253601262035,0.007655257126365417,0.005292952365338598,0.0014529980851888532,0.0034402253601262035,0.007655257126365417
header,random,0.1,5,0.012967150244581296,0.002161924973674353,0.009853251222906475,0.015163750000000004,0.057330611791637176,0.004303563818159579,0.0521906341276422,0.06332818053408555,0.061928927479771,0.005032122607535419,0.05340788826759777,0.06705069124423964,0.0010910308796395608,0.0001782384497731467,0.0008099133365463806,0.0013246631840379164,0.010445851930907768,0.0011399181546161577,0.008677028661600744,0.012194408508693605,0.0125219368258243,0.001090706136771991,0.010847852292739301,0.014213160257123613,0.0010910308796395608,0.0001782384497731467,0.0008099133365463806,0.0013246631840379164,0.010445851930907768,0.0011399181546161577,0.008677028661600744,0.012194408508693605,0.0125219368258243,0.001090706136771991,0.010847852292739301,0.014213160257123613,0.048961777235189706,0.003530616558306175,0.042524554934264436,0.052618607910906307,4.8672576635879725,0.6187999587811975,4.203300778829892,6.019917117726657,0.01143090594618474,0.001179211334626873,0.009614994419940404,0.013187583018294346,0.01143090594618474,0.001179211334626873,0.009614994419940404,0.013187583018294346
imports,important,0.01,5,0.0364495323608018,0.02161744791079722,0.015194101787120327,0.07144285671429858,0.048530977520165025,0.01907322375749765,0.02988215488215488,0.08161288104658504,0.04192104807775102,0.013434774664590064,0.023558333333333334,0.061158333333333335,0.006289208074790098,0.013758517898252286,-0.015544413690355863,0.023665496029522393,0.007170045024881833,0.0025770133794191627,0.0034189065960525955,0.010242195000649823,0.007145160651747839,0.002182191940144932,0.003537672464760666,0.009759627941210103,0.006289208074790098,0.013758517898252286,-0.015544413690355863,0.023665496029522393,0.007170045024881833,0.0025770133794191627,0.0034189065960525955,0.010242195000649823,0.007145160651747839,0.002182191940144932,0.003537672464760666,0.009759627941210103,0.005471515716949222,0.013012600923260982,-0.018420949658876813,0.02110589821287967,1.403393009268667,0.5428075277389616,0.7421582715744058,2.3890849560301506,0.0008559525769577415,0.01523661927927562,-0.020127823564761727,0.025304041631565966,0.0008559525769577415,0.01523661927927562,-0.020127823564761727,0.025304041631565966
imports,important,0.05,5,0.06460235111806814,0.0656171207506438,0.018479825416724705,0.19447416577502674,0.1366604176048177,0.07493562523263636,0.06797168400412111,0.25582703594667067,0.07155873161565576,0.024411880980015514,0.04643333333333333,0.10871865807827877,0.016348059829027296,0.02459984446337036,-0.014026445915985009,0.06095683303766786,0.03125003149567891,0.013328673361947499,0.019250580348218915,0.05271311445765625,0.026451600327552803,0.008195796707992156,0.01516103224447063,0.04017277852853551,0.016348059829027296,0.02459984446337036,-0.014026445915985009,0.06095683303766786,0.03125003149567891,0.013328673361947499,0.019250580348218915,0.05271311445765625,0.026451600327552803,0.008195796707992156,0.01516103224447063,0.04017277852853551,0.006956380497587611,0.047406780089168425,-0.08575550769674797,0.048634009542867465,1.7284241560632352,0.6751809433528108,0.559039076707225,2.5126500000000003,0.01010354049852551,0.020276057443161317,-0.020784054509132344,0.043131264712696016,0.01010354049852551,0.020276057443161317,-0.020784054509132344,0.043131264712696016
imports,important,0.1,5,0.0856626807323642,0.04802870819133569,0.035106643499352795,0.16333010009699708,0.18940441681365722,0.07323952979246025,0.11028001534330649,0.3037496796614725,0.08201199145327634,0.02275897895160025,0.057625,0.11501829059971502,0.0314981061371878,0.019222824025380968,0.012829125662827345,0.05548481235291536,0.05555847780067589,0.02114580054869796,0.037645048459610586,0.09296237755694636,0.04444025965968277,0.012018245070023552,0.025729855818459546,0.06284128134118572,0.0314981061371878,0.019222824025380968,0.012829125662827345,0.05548481235291536,0.05555847780067589,0.02114580054869796,0.037645048459610586,0.09296237755694636,0.04444025965968277,0.012018245070023552,0.025729855818459546,0.06284128134118572,-0.0036506892790878695,0.04212585438504482,-0.060649438691512965,0.040324302747321475,1.2198389663129352,0.5292904535705496,0.4872143181359694,1.8313247937773347,0.01294215352249497,0.015963074092663503,-0.012795779943820307,0.03527948283312965,0.01294215352249497,0.015963074092663503,-0.012795779943820307,0.03527948283312965
imports,random,0.01,5,0.0006665050761804201,0.00018016437519141523,0.00040753024265705897,0.0008830594847993655,0.0034710670448007846,0.0009676979270310824,0.002375696935306704,0.00493901425770215,0.003805778206687943,0.0005333457160650297,0.003239583333333333,0.004725141033439716,-0.0005574189413838027,0.0011628380154023357,-0.0016942599625230982,0.0015508216441874056,0.0002481333034479294,0.00015270458194241551,2.1914535446543316e-05,0.0004886685378012679,8.7468390899883e-05,0.0001779117256675129,-0.00015743511007512145,0.0003014260100751731,-0.0005574189413838027,0.0011628380154023357,-0.0016942599625230982,0.0015508216441874056,0.0002481333034479294,0.00015270458194241551,2.1914535446543316e-05,0.0004886685378012679,8.7468390899883e-05,0.0001779117256675129,-0.00015743511007512145,0.0003014260100751731,0.0031392731305075238,0.0004110509430288228,0.0027324634052770646,0.003921915130216813,6.020281062631893,1.2787503261690827,4.542445972268076,8.234562695160031,0.0006448873322836856,0.0010559481477399753,-0.0012493956341122325,0.001725066118719154,0.0006448873322836856,0.0010559481477399753,-0.0012493956341122325,0.001725066118719154
