feature_group,density_bin,perturbation_type,strength,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,high_density,important,0.01,5,120000.2,0.4,120000.0,120001.0,1.0,0.0,1.0,1.0,0.0021416647916822915,0.003318534387218092,0.0,0.008716666666666666,0.001566666222225926,0.0029599363806962027,0.0,0.007483333333333333,6.666666666666667e-06,1.3333333333333335e-05,0.0,3.3333333333333335e-05,0.005437868948993055,0.010246016954048224,0.0,0.025917801893327177,9.145156496490547e-06,1.8290312992981094e-05,0.0,4.5725782482452734e-05,0.029344615720866284,0.01100603371147215,0.016896224867706085,0.046239966666666674,0.015071044200091099,0.020067257767968177,-0.006915844765884417,0.042552266666666665,-0.0277393284532604,0.011902307734426954,-0.04623996666666667,-0.014891704622833069,0.9987747118697115,0.00019830500325723332,0.9985213696225589,0.9990277682390755,0.9967372179543184,0.002177312944745554,0.993992544146856,0.999443785132477,0.002037493915393296,0.0021396687220366995,-0.0008754016421852473,0.00452882547570288,0.002037493915393296,0.0021396687220366995,-0.0008754016421852473,0.00452882547570288
header,high_density,important,0.05,5,120000.2,0.4,120000.0,120001.0,4.0,0.0,4.0,4.0,0.014001644416852083,0.0021793822011485276,0.0113,0.0174,0.009244983833468053,0.0008859563323520466,0.007666666666666666,0.010316666666666667,0.0010816654027883102,0.0005926969767117784,0.000675,0.0022583333333333335,0.03268881255300621,0.0025864266753897755,0.028288543140028287,0.03546261816098539,0.0015125197317521866,0.0008423038238993038,0.0009440999580400018,0.0031848630861440828,0.11545141714906855,0.005455056390889401,0.10887292589005741,0.125462992744704,0.047147480428622476,0.00802387075382638,0.04017301115395479,0.060760313973611015,-0.10951164427769144,0.00512169827176575,-0.11825663339469157,-0.10221546096322534,0.9987747118697115,0.00019830500325723332,0.9985213696225589,0.9990277682390755,0.9972776385860869,0.000303215527863184,0.9968287479592185,0.9976803044779918,0.0014970732836245837,0.0004007338694711956,0.0008410651445670547,0.0020966441618642806,0.0014970732836245837,0.0004007338694711956,0.0008410651445670547,0.0020966441618642806
header,high_density,important,0.1,5,120000.2,0.4,120000.0,120001.0,8.0,0.0,8.0,8.0,0.0673148881120435,0.013404317158306782,0.04755,0.08976666666666666,0.03979491865345567,0.00991411845453447,0.0282,0.0539,0.01969664325019514,0.020665396547180307,0.00044166666666666665,0.056175,0.14074654620469915,0.03437427879172785,0.10405264128897362,0.18667744169937658,0.027264067892876703,0.028406874811072572,0.000620957915455994,0.07705937492855347,0.32970768644051135,0.037451442399358194,0.28206601500056555,0.3729817882769743,-0.08838040920001865,0.031069105918189028,-0.13212162234684846,-0.049796668929917264,-0.3186171325588383,0.03947221939273764,-0.3624836307944498,-0.26787480349130216,0.9987747118697115,0.00019830500325723332,0.9985213696225589,0.9990277682390755,0.9776241199148302,0.00805047619961014,0.9621593809092696,0.9850660505848828,0.021150591954881337,0.00810618825327693,0.013961717654192629,0.03676601121181322,0.021150591954881337,0.00810618825327693,0.013961717654192629,0.03676601121181322
header,high_density,random,0.01,5,120000.2,0.4,120000.0,120001.0,1.0,0.0,1.0,1.0,0.0010350821326488946,0.0004858592246649868,0.0005441666666666668,0.0019137499999999999,0.0003869157868128877,0.00029181746424757803,3.5833333333333335e-05,0.0008795833333333335,0.0003398333125001736,0.00029015103782321385,1.2499895834201382e-05,0.0007258333333333333,0.0013648586976534103,0.0010049480812260774,0.0001241052874624798,0.0030234889716413637,0.0004730062491236626,0.0004022041032865862,1.7279513408902406e-05,0.0009956789135554082,0.020975109840518265,0.00529245866977088,0.013051437740200839,0.029192435136959495,-0.011919567629823106,0.004733415515664108,-0.020328158358206276,-0.006977108058892336,-0.020639062025703682,0.00520530877502639,-0.028575387709855564,-0.012737400420912958,0.9987747118697113,0.00019830500325722096,0.9985213696225589,0.9990277682390752,0.9986271199652192,0.0002442354488190682,0.9982361727687534,0.99890067468287,0.00014759190449230465,0.00014152257663305008,-8.103622800809118e-06,0.0003444335831456591,0.00014759190449230465,0.00014152257663305008,-8.103622800809118e-06,0.0003444335831456591
header,high_density,random,0.05,5,120000.2,0.4,120000.0,120001.0,4.0,0.0,4.0,4.0,0.006020490376469085,0.0012033753651048053,0.004541250000000001,0.00778875,0.003438328132682228,0.0009614116364145446,0.002387916666666667,0.004717916666666666,0.0013334970340524942,0.00036398608188305275,0.0008854166666666668,0.0017795685035958038,0.012224979776781376,0.0035880392692302643,0.008377675125716291,0.017408215976877188,0.0018558616438814532,0.0004977660711859522,0.0012384027227376568,0.0024600267256474056,0.07522994894773405,0.008108004298174203,0.06516891201389172,0.08529748262192147,-0.03467705437490974,0.011274632223221897,-0.04977930009273497,-0.023370500945304403,-0.07385590050173083,0.008014346815022121,-0.0835160158338846,-0.06396363291040617,0.9987747118697113,0.00019830500325722096,0.9985213696225589,0.9990277682390752,0.9979912232352097,0.0003259801119454715,0.997388267039455,0.9983276797607157,0.0007834886345017578,0.00022111092361131276,0.0005015834575506694,0.001133102583103851,0.0007834886345017578,0.00022111092361131276,0.0005015834575506694,0.001133102583103851
header,high_density,random,0.1,5,120000.2,0.4,120000.0,120001.0,8.0,0.0,8.0,8.0,0.012967150244581296,0.002161924973674353,0.009853251222906475,0.015163750000000004,0.007255155629953084,0.0022691266191411565,0.0037179166666666667,0.010019583333333333,0.0028419148541817705,0.002705411105286856,0.0010624999999999999,0.008111666666666666,0.025553245736919188,0.007672322234210931,0.013718406002090894,0.03515232136592211,0.003935806553869523,0.003700062459931886,0.0014860832672851884,0.011127369167104871,0.1293077710599864,0.01743037011340097,0.10883333727407478,0.1615122711665305,-0.06598778911746742,0.018383175835060526,-0.09889526464067895,-0.04240193951656787,-0.12617376446092116,0.017795626213195696,-0.15904673911461883,-0.1051619594436604,0.9987747118697113,0.00019830500325722096,0.9985213696225589,0.9990277682390752,0.997683680990072,0.0003110498401129164,0.9971967064385211,0.998020732539002,0.0010910308796395608,0.0001782384497731467,0.0008099133365463806,0.0013246631840379164,0.0010910308796395608,0.0001782384497731467,0.0008099133365463806,0.0013246631840379164
header,low_density,important,0.01,5,120000.8,0.4,120000.0,120001.0,1.0,0.0,1.0,1.0,0.03983302478034906,0.02282258325369899,0.014033333333333333,0.07330772243564637,0.02245148673761052,0.015480410782015138,0.004208298264181132,0.0421913150723744,0.002316653652886226,0.0018504624504234028,0.00019999833334722212,0.004866626111449071,0.0557166283641604,0.038378148320778044,0.010500051980455349,0.10479364159456886,0.0038665597377054452,0.0030851366769476087,0.0003353313492895167,0.008121714460545713,0.052798102736090056,0.023834706079406538,0.023614854836923375,0.08177654598820709,0.032906302353114515,0.03742584956538677,-0.013623789046142505,0.06552428187076863,-0.03573787331664144,0.01632305959227029,-0.05604093883300117,-0.018120262026014532,0.9611382466585937,0.0017351762694040956,0.9584734030226034,0.9627914165113355,0.9502893848572611,0.008659069822702007,0.9400173500045452,0.9609561922231773,0.01084886180133251,0.007526487153575412,0.0013672505064723506,0.018456053018058194,0.01084886180133251,0.007526487153575412,0.0013672505064723506,0.018456053018058194
header,low_density,important,0.05,5,120000.8,0.4,120000.0,120001.0,4.0,0.0,4.0,4.0,0.17768880816270977,0.01390925838882169,0.1585820118165682,0.19802334980541828,0.11748421110379637,0.011713116481804725,0.10662411146573779,0.1382488479262673,0.007753285472621061,0.0031206548756450635,0.003458304514129049,0.011266572778560179,0.2922238052896883,0.028827689581512324,0.2651443201057109,0.3433787308026659,0.012959835790833651,0.005210042663051922,0.005789055198292577,0.018890332676642776,0.1881099511109901,0.004898385274269986,0.1835280731549659,0.19552760197887586,0.10188880902181556,0.008862841734940164,0.08952273181539105,0.11668002985156703,-0.12626652126607432,0.0014850467709640778,-0.12788115444843426,-0.12382243567156764,0.9611382466585937,0.0017351762694040956,0.9584734030226034,0.9627914165113355,0.9217207352361223,0.003860043437038943,0.9148995434180024,0.926269830128774,0.039417511422471296,0.00241428504857444,0.036053612600875695,0.04357385960460103,0.039417511422471296,0.00241428504857444,0.036053612600875695,0.04357385960460103
header,low_density,important,0.1,5,120000.8,0.4,120000.0,120001.0,8.0,0.0,8.0,8.0,0.22935354337324965,0.026062435705765812,0.19201506654111217,0.27279166666666665,0.11546582160426441,0.028202001375559435,0.07029166666666667,0.15515704035799702,0.05780977841851318,0.051281925197313026,0.013666552778726844,0.1561,0.287006252525667,0.06934342363341957,0.17598948444574267,0.3844517860830064,0.09650421476634219,0.08532050871480279,0.022914308868116975,0.2599103661666967,0.26937071307697963,0.013814695004836288,0.2505330755890594,0.28579816134922015,0.013318459756905234,0.0327145130917957,-0.03764998485975787,0.056488452964315886,-0.2367945884267678,0.018535187877273315,-0.25768929120403355,-0.2104825802087977,0.9611382466585937,0.0017351762694040956,0.9584734030226034,0.9627914165113355,0.8562052859306732,0.025182820518431865,0.8188432593179247,0.8854588859580669,0.1049329607279205,0.02582017889442491,0.07301451706453654,0.1435866449546529,0.1049329607279205,0.02582017889442491,0.07301451706453654,0.1435866449546529
header,low_density,random,0.01,5,120000.8,0.4,120000.0,120001.0,1.0,0.0,1.0,1.0,0.009370270430385302,0.0021550947344653603,0.005553703719135673,0.012056149532087232,0.003014396421696486,0.0007899644100694706,0.0015854034549712085,0.003942883809301589,0.0027103989779251837,0.0009188376785900953,0.00150540412163232,0.00428829759752002,0.007497912776710363,0.0019589021257630417,0.003937782009355466,0.009769770803221143,0.00453333905022784,0.0015418928399252574,0.002519982702582058,0.007190464879064373,0.018316451550574923,0.004949391524252411,0.010651874286517477,0.025847505520642626,-0.002015833083644519,0.0024318768785311536,-0.006263651431381953,0.0009498876806746752,-0.014261933040122618,0.00422761491597596,-0.020565722407949856,-0.008317386525825346,0.9611382466585935,0.0017351762694041712,0.9584734030226031,0.9627914165113356,0.9594849807198956,0.002207657148180208,0.9560954728787834,0.9622068595029212,0.0016532659386981352,0.000587069350611671,0.0005845570084143214,0.002377930143820228,0.0016532659386981352,0.000587069350611671,0.0005845570084143214,0.002377930143820228
