feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,0.03843333333333333,0.028516025221696734,0.018666666666666668,0.09516666666666666,0.29730385012777594,0.08383197574882886,0.2348801453339389,0.4634125,0.22445009765518925,0.06646026489238868,0.18323180640161332,0.356875,0.0015786548539812983,0.0015165048589662366,-0.00024860621529565474,0.004317333268398893,0.11581677635497409,0.05770078003032738,0.002931260133426594,0.1579663030168248,0.0928039177259139,0.041827698704291594,0.009622170233820393,0.11978140515270086,0.0015786548539812983,0.0015165048589662366,-0.00024860621529565474,0.004317333268398893,0.11581677635497409,0.05770078003032738,0.002931260133426594,0.1579663030168248,0.0928039177259139,0.041827698704291594,0.009622170233820393,0.11978140515270086,0.18601676432185593,0.03805923790012562,0.16141510737410522,0.2617083333333333,7.173398977136378,1.9513744229957972,3.75,9.815989628657857,0.0912252628719326,0.04083022587732037,0.009870776449116048,0.11546407188430197,0.0912252628719326,0.04083022587732037,0.009870776449116048,0.11546407188430197
header,important,0.05,5,0.19333833333333333,0.24850296838155564,0.029791666666666668,0.684175,0.3141963729449069,0.06369614675068419,0.22590094125392188,0.39251561503877197,0.347079890221387,0.08710050397517752,0.2597478354347047,0.508675,0.013871424831836742,0.02579234992126724,-0.001243305806212902,0.06527328080950645,0.1898525662802121,0.04694801832564925,0.15131954831191674,0.27911631617953625,0.17108132600404885,0.03461109620265747,0.13462289797916183,0.22919828607425108,0.013871424831836742,0.02579234992126724,-0.001243305806212902,0.06527328080950645,0.1898525662802121,0.04694801832564925,0.15131954831191674,0.27911631617953625,0.17108132600404885,0.03461109620265747,0.13462289797916183,0.22919828607425108,0.15374155688805372,0.1650428648382262,-0.1755,0.2507154527791434,4.625766331427644,2.7618858881229222,0.7434866810392078,8.718808462143933,0.1572099011722121,0.017520743977086087,0.13586620378537473,0.17477457934435048,0.1572099011722121,0.017520743977086087,0.13586620378537473,0.17477457934435048
header,important,0.1,5,0.5735416666666666,0.24870295105026619,0.07629166666666666,0.7054916666666666,0.3180842323803311,0.0470409578853809,0.29063037762657346,0.4118933828890954,0.5191093588720967,0.07718521060766916,0.365596953358722,0.5716119032341397,0.0069879274095051794,0.002227489035325593,0.003784082546159251,0.009943178121448737,0.19478211279060742,0.032788553718741384,0.15374408360915026,0.2526393706281651,0.19709825996617836,0.013500941349151528,0.18137724644347908,0.21658502188237239,0.0069879274095051794,0.002227489035325593,0.003784082546159251,0.009943178121448737,0.19478211279060742,0.032788553718741384,0.15374408360915026,0.2526393706281651,0.19709825996617836,0.013500941349151528,0.18137724644347908,0.21658502188237239,-0.05443230779456996,0.1719578918025034,-0.14819917539532412,0.28930528669205535,1.5974940691273962,1.597320777178498,0.7899349029939062,4.792095510982703,0.19011033255667317,0.012456740012093145,0.1753054010019499,0.20664184376092365,0.19011033255667317,0.012456740012093145,0.1753054010019499,0.20664184376092365
header,random,0.01,5,0.05101216666666666,0.031993818143553565,0.0159825,0.10326166666666665,0.07190609679468675,0.02077543267698594,0.03382659927749699,0.09056204400851671,0.08406050128162852,0.03456342491124308,0.03374513545720452,0.1339130507245773,0.0005343647908958671,0.00034509793436405346,1.3696103177679442e-05,0.0009570230754744335,0.004152472437081818,0.0031161473440311865,0.0003244791048372109,0.008090720903297693,0.004239434651386139,0.0029181925723933398,0.0006283228416780528,0.007438537272207213,0.0005343647908958671,0.00034509793436405346,1.3696103177679442e-05,0.0009570230754744335,0.004152472437081818,0.0031161473440311865,0.0003244791048372109,0.008090720903297693,0.004239434651386139,0.0029181925723933398,0.0006283228416780528,0.007438537272207213,0.03304833461496186,0.012051317064744426,0.01776263545720452,0.05490708333333334,1.8942910059597764,0.4737171505312367,1.2968321648037573,2.5936653444272446,0.003705069860490272,0.0025989937446535727,0.0006146267385003734,0.006727315124461686,0.003705069860490272,0.0025989937446535727,0.0006146267385003734,0.006727315124461686
header,random,0.05,5,0.21060508333333336,0.04009399591065143,0.15838499999999997,0.2802483333333333,0.24633899827774225,0.03977627141861562,0.18478431160129835,0.30402250000000003,0.2641046710849491,0.03285492127395281,0.22052524562295311,0.30402351529494115,0.002623246421732262,0.0005718240504995703,0.002031807571301103,0.0035687463717333336,0.013014499424654855,0.006830696026245444,0.0069259577076236645,0.0256734474601725,0.012129958129513965,0.005050437511058561,0.006810161981543883,0.021565141359157304,0.002623246421732262,0.0005718240504995703,0.002031807571301103,0.0035687463717333336,0.013014499424654855,0.006830696026245444,0.0069259577076236645,0.0256734474601725,0.012129958129513965,0.005050437511058561,0.006810161981543883,0.021565141359157304,0.053499587751615785,0.019598096668609465,0.023775181961607827,0.08363958333333332,1.2715057336334379,0.11427329248269229,1.084836122587495,1.3923366835429691,0.009506711707781702,0.004830812945801976,0.00477835441024278,0.0186654028659974,0.009506711707781702,0.004830812945801976,0.00477835441024278,0.0186654028659974
header,random,0.1,5,0.3066895,0.03964894209514153,0.2656295833333333,0.3786712499999999,0.2778029849119452,0.03587591218717972,0.2236136400568336,0.32400778356035387,0.3355333069635845,0.03267103557766933,0.2993104166666667,0.39088882592645063,0.006320860480110433,0.0014353024481344326,0.0037375772800089524,0.00807044426767663,0.019496105633025076,0.003836732803185249,0.013200643448278964,0.02382996189280411,0.020237030622099285,0.0019628057681057437,0.017945357388291193,0.0229215625936738,0.006320860480110433,0.0014353024481344326,0.0037375772800089524,0.00807044426767663,0.019496105633025076,0.003836732803185249,0.013200643448278964,0.02382996189280411,0.020237030622099285,0.0019628057681057437,0.017945357388291193,0.0229215625936738,0.028843806963584507,0.010291643203991462,0.01221757592645073,0.041678689097729815,1.0983916453048388,0.04081562844671588,1.032264334634464,1.156905298629438,0.013916170141988846,0.0018532727057481925,0.010940959061186572,0.016734872173450765,0.013916170141988846,0.0018532727057481925,0.010940959061186572,0.016734872173450765
imports,important,0.01,5,0.06389004261976389,0.016426785692925813,0.046641340276671106,0.09154217402385983,0.1260361117533343,0.046791571550698775,0.07513885859077409,0.21428571428571427,0.10178548900857069,0.0167023055858442,0.09140833333333333,0.1350671210846034,0.048520849314762506,0.03810277294571755,0.014984020176867174,0.12209077421982006,0.02975778473900159,0.004466897666200558,0.02266069315143393,0.03463731399967074,0.03489238379999955,0.009493261820861763,0.022580064145034107,0.04815086583776418,0.048520849314762506,0.03810277294571755,0.014984020176867174,0.12209077421982006,0.02975778473900159,0.004466897666200558,0.02266069315143393,0.03463731399967074,0.03489238379999955,0.009493261820861763,0.022580064145034107,0.04815086583776418,0.0378954463888068,0.020288800241395337,0.0009153888297830509,0.06175986650289998,1.6687405972047589,0.3497866711653488,1.0099996404885956,2.0452159472609583,-0.013628465514762956,0.03336251827469795,-0.07393990838205589,0.019435626202865874,-0.013628465514762956,0.03336251827469795,-0.07393990838205589,0.019435626202865874
imports,important,0.05,5,0.10576225841903267,0.04624013360135431,0.04393087774567986,0.17371881538295456,0.23699019748055944,0.06452221765992112,0.14017166445723492,0.34193712182118224,0.1755173515003157,0.010486923123964507,0.16006566283633455,0.19247430066143517,0.06753509490484759,0.042090793501383075,0.02390200925883057,0.14287228306221222,0.08760075424955219,0.0183739879242875,0.06451287209125456,0.10720669860487808,0.10490621618605696,0.013418710864281503,0.08702512259782091,0.12382195712965482,0.06753509490484759,0.042090793501383075,0.02390200925883057,0.14287228306221222,0.08760075424955219,0.0183739879242875,0.06451287209125456,0.10720669860487808,0.10490621618605696,0.013418710864281503,0.08702512259782091,0.12382195712965482,0.06975509308128304,0.04093649818909829,0.018755485278480616,0.1291673581905572,2.057214856971357,1.0206683312237228,1.107964616481727,3.9402407786686995,0.03737112128120936,0.03520953493310176,-0.0190503259325574,0.08312327095062255,0.03737112128120936,0.03520953493310176,-0.0190503259325574,0.08312327095062255
imports,important,0.1,5,0.13777730577368258,0.05015454313121424,0.06786094174130886,0.20932826805533422,0.29190079242544337,0.07560693782916322,0.17095967647206886,0.40707001710683005,0.21607661068574938,0.012977126516349389,0.19561358920729624,0.23170315064954544,0.10274189658484223,0.05308950476967407,0.043016457031322064,0.19223509397259286,0.14772742156236068,0.021556196885117587,0.10976610581266033,0.1722831803517748,0.14399158288078995,0.0230441660717619,0.11386085320760597,0.1780101790563149,0.10274189658484223,0.05308950476967407,0.043016457031322064,0.19223509397259286,0.14772742156236068,0.021556196885117587,0.10976610581266033,0.1722831803517748,0.14399158288078995,0.0230441660717619,0.11386085320760597,0.1780101790563149,0.07829930491206678,0.04701541995314765,0.0005399447368551746,0.12775264746598738,1.7989741973798743,0.6500192296517684,1.0025794162530999,2.8825652015409737,0.04124968629594772,0.06543825604981902,-0.060640519650868474,0.13499372202499282,0.04124968629594772,0.06543825604981902,-0.060640519650868474,0.13499372202499282
imports,random,0.01,5,0.00829587857346534,0.001654476165152421,0.005756700359793772,0.010734756614762989,0.025814280849517247,0.008579094160171557,0.01267556592217207,0.039329992564875994,0.02867410762841417,0.0056746714646666516,0.0214619044841293,0.038521517468885894,-8.903317464694752e-05,0.002824254181643913,-0.005376755803620997,0.0031031889007759163,0.001624765072729384,0.0011497955927474894,-0.0003862111592319861,0.003201718842844992,0.001753895331391355,0.0004246254344025416,0.0009143990403741697,0.002068141737693269,-8.903317464694752e-05,0.002824254181643913,-0.005376755803620997,0.0031031889007759163,0.001624765072729384,0.0011497955927474894,-0.0003862111592319861,0.003201718842844992,0.001753895331391355,0.0004246254344025416,0.0009143990403741697,0.002068141737693269,0.020378229054948828,0.005076583371605766,0.012382917088238585,0.027786760854122905,3.549472236247,0.7508917516678421,2.363909492136015,4.561591978368441,0.0018429285060383028,0.002924351181602068,-0.0011597900771315008,0.007444897541314267,0.0018429285060383028,0.002924351181602068,-0.0011597900771315008,0.007444897541314267
