feature_group,density_bin,density_definition,perturbation_type,strength,n_rows,thresholds_json,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,high_density,class_conditional,important,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120223.0,198.83561049268815,120043.0,120565.0,1.0,0.0,1.0,1.0,0.04266224500545849,0.030881520151134646,0.020079953360539686,0.10388587069215775,0.03255289574246629,0.030362784834392254,0.01162655117847922,0.09295400821133828,0.0,0.0,0.0,0.0,0.06531271073259891,0.06105709361131954,0.023266666666666668,0.18678022032966118,0.0,0.0,0.0,0.0,0.12738878512007684,0.044107880297364996,0.09226726640174497,0.21351233638099068,0.12738878512007684,0.044107880297364996,0.09226726640174497,0.21351233638099068,-0.08212200586449905,0.01887721000465351,-0.10321873808606048,-0.04859630880905561,0.9968168980633063,0.0002922330543073437,0.99652180250775,0.9972385225570168,0.9962253510214891,0.0006507776624391925,0.9949922072514698,0.9968516125631207,0.000591547041817253,0.0007730557733524074,-6.174577318462937e-05,0.0021053406170022937,0.000591547041817253,0.0007730557733524074,-6.174577318462937e-05,0.0021053406170022937
header,high_density,class_conditional,important,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120223.0,198.83561049268815,120043.0,120565.0,4.0,0.0,4.0,4.0,0.14606463657608715,0.16936657733342914,0.0349462813358874,0.47960021565130845,0.018842962201259146,0.016397547412943917,0.0,0.039202619061502963,0.113227845689156,0.18164905422409316,0.0,0.46891718160328455,0.03773333333333333,0.032835610750119044,0.0,0.07843333333333333,0.22554943177059644,0.3615945698275592,0.0,0.9334753318803249,0.17069660318670987,0.13311149040546255,0.06346430667937596,0.42660354603627215,-0.06735980577492764,0.2000194840343533,-0.4264793822654999,0.10606964506350872,-0.03177508636600571,0.050446670167290736,-0.11395699575156747,0.037266645967018605,0.9968168980633063,0.0002922330543073437,0.99652180250775,0.9972385225570168,0.9857701729416526,0.02119186138705705,0.9434608672192605,0.9974936588500463,0.011046725121653767,0.02109235564572455,-0.0008570020443119386,0.05313677922641147,0.011046725121653767,0.02109235564572455,-0.0008570020443119386,0.05313677922641147
header,high_density,class_conditional,important,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120223.0,198.83561049268815,120043.0,120565.0,8.0,0.0,8.0,8.0,0.40969315166871906,0.16443794371060505,0.08107770571240644,0.5004238344552481,0.013482977678236904,0.02696595535647381,0.0,0.06741488839118452,0.38480769854504343,0.19179013444480406,0.001448708235156985,0.4886146430649048,0.026989999999999997,0.05397999999999999,0.0,0.13495,0.7680186969331635,0.3827960263115074,0.0028948375397208313,0.9745566053373115,0.39745704712977353,0.15606053468381864,0.08567875637511163,0.48324834569060987,-0.3676307926741872,0.21566421691129245,-0.4832472894847732,0.0634496564272113,0.055803106365669986,0.034928126299915235,-0.014019519889687831,0.07450912612543012,0.9968168980633063,0.0002922330543073437,0.99652180250775,0.9972385225570168,0.9923175846277352,0.0005743929724642178,0.9912634628516233,0.9930056400684716,0.004499313435571151,0.0007775766871031402,0.003592006377200363,0.005834085016848789,0.004499313435571151,0.0007775766871031402,0.003592006377200363,0.005834085016848789
header,high_density,class_conditional,random,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120223.0,198.83561049268815,120043.0,120565.0,1.0,0.0,1.0,1.0,0.04449390142184649,0.02225568716144752,0.01389387517659769,0.07854876322145417,0.013585503621485157,0.008042621434085717,0.0046206379611893065,0.02856078330155611,0.02678572081161864,0.025131878089635816,0.0007990526053353278,0.06871449987507287,0.02721990993483442,0.016097109581904648,0.009246666666666667,0.057172499999999994,0.053517288064826384,0.050249449155850404,0.0015937344604674292,0.13734892625270517,0.05123891145004049,0.022691416507848883,0.017392517956945595,0.08740718966579453,-0.007991050016059204,0.03400204195704676,-0.07070448237773203,0.02646111802089583,-0.0062379574793180485,0.0049381248883616615,-0.012713755190244763,0.0007302194088236791,0.9968168980633063,0.00029223305430720026,0.9965218025077501,0.9972385225570166,0.9964343413994445,0.000322779619418517,0.9959704652952237,0.9969092243146884,0.0003825566638619183,0.00014255677046946146,0.00014447403171443662,0.0005513372125265259,0.0003825566638619183,0.00014255677046946146,0.00014447403171443662,0.0005513372125265259
header,high_density,class_conditional,random,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120223.0,198.83561049268815,120043.0,120565.0,4.0,0.0,4.0,4.0,0.19256018725607968,0.033565770673886865,0.1459123844424086,0.24497430087551958,0.0704858031278984,0.033631227300123044,0.020590905305238612,0.11483010981874495,0.11247693089735689,0.0312944825151553,0.06067672991582505,0.1587335371491882,0.14125669974944863,0.06740235536469065,0.04120583333333334,0.22986499999999999,0.22455212810874223,0.06259308434610382,0.12124544562197415,0.3173533967323418,0.19723942148758516,0.03181335949638122,0.160954423708289,0.24463070084394173,-0.021719849444685687,0.055181817530962116,-0.08399038501646824,0.06584750365267203,-0.005326303702931077,0.008406817787148961,-0.01800127363230472,0.0045856910194061445,0.9968168980633063,0.00029223305430720026,0.9965218025077501,0.9972385225570166,0.9948929460092618,0.0005876515106611365,0.9942417692476194,0.9959341549303591,0.0019239520540445345,0.00045378451763161877,0.0013043676266577986,0.0025266711842623912,0.0019239520540445345,0.00045378451763161877,0.0013043676266577986,0.0025266711842623912
header,high_density,class_conditional,random,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120223.0,198.83561049268815,120043.0,120565.0,8.0,0.0,8.0,8.0,0.2655432301159132,0.03307289958043824,0.21737804371312225,0.31041196599698606,0.07789471664651207,0.028068589614271475,0.037356851990359846,0.11926517997717483,0.17813158333168455,0.031209146439736365,0.15448305893086717,0.23970709450739763,0.1560411292395127,0.05611408957255891,0.07491916666666668,0.23861583333333333,0.35564263591965767,0.06254417570118241,0.3075300508552935,0.4789874723409918,0.2636674702264189,0.03317644085439656,0.2224895307487796,0.31519817700078,-0.08649749319631875,0.055650299651245155,-0.173837441258409,-0.018092935517123453,0.0004524184759989239,0.009897613477256826,-0.016938511987545025,0.01209903699018863,0.9968168980633063,0.00029223305430720026,0.9965218025077501,0.9972385225570166,0.992273810761325,0.0012333867112462374,0.9908764508743575,0.9944941602990955,0.004543087301981325,0.0010430720695044661,0.0027443622579213177,0.005752520063263144,0.004543087301981325,0.0010430720695044661,0.0027443622579213177,0.005752520063263144
header,low_density,class_conditional,important,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120000.4,0.8,120000.0,120002.0,1.0,0.0,1.0,1.0,0.2633409424287373,0.06726051161712261,0.21727137881035316,0.3968333333333333,0.22350603156614057,0.045998909177144796,0.19053015783070282,0.3141333333333333,0.0,0.0,0.0,0.0,0.4470133333333333,0.09199690779827571,0.38106666666666666,0.6282666666666666,0.0,0.0,0.0,0.0,0.20950451974032586,0.07651053739588436,0.1629044799601902,0.36204997291955976,0.20950451974032586,0.07651053739588436,0.1629044799601902,0.36204997291955976,-0.028566792366278244,0.04337362760466591,-0.05228147039622988,0.05814972420431966,0.8928393003405498,0.00214501639701515,0.8896530842027488,0.8964018468055555,0.8013421631292011,0.04170607373315919,0.7762764531460062,0.8841048188888888,0.09149713721134849,0.041875685659421,0.008439418611111194,0.11700630222222208,0.09149713721134849,0.041875685659421,0.008439418611111194,0.11700630222222208
header,low_density,class_conditional,important,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120000.4,0.8,120000.0,120002.0,4.0,0.0,4.0,4.0,0.35705901401643303,0.0553000473270417,0.2957950700821653,0.46141666666666664,0.15449597567818313,0.1186722612961497,0.0006666666666666666,0.2713083333333333,0.13067985939123236,0.14208904695532074,0.009658333333333333,0.3665083333333333,0.30899333333333334,0.2373451374873496,0.0013333333333333333,0.5426166666666666,0.261359437574303,0.28417826905584126,0.019316666666666666,0.7330166666666666,0.29427239049074405,0.06773097357399732,0.22723821277492895,0.4248136314587664,0.0023475276450334428,0.26882763338550136,-0.42237391768581634,0.25179030926571055,0.0037911069581475776,0.06660338932532837,-0.07382473957511469,0.12773925624172106,0.8928393003405498,0.00214501639701515,0.8896530842027488,0.8964018468055555,0.7197710938426867,0.03423059823944498,0.665071195,0.7559587497222222,0.173068206497863,0.03302069047714392,0.14037058916666656,0.2274730425,0.173068206497863,0.03302069047714392,0.14037058916666656,0.2274730425
header,low_density,class_conditional,important,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120000.4,0.8,120000.0,120002.0,8.0,0.0,8.0,8.0,0.48257335905512677,0.04145582099011332,0.400525,0.5102833333333333,0.06181833147225324,0.12297026397655653,0.0,0.30775833333333336,0.32978034538313256,0.15526592805045322,0.019491666666666668,0.4148833333333333,0.12363666666666666,0.24594052609884728,0.0,0.6155166666666667,0.6595580482872793,0.3105307225946691,0.038983333333333335,0.8297666666666667,0.45389288881248735,0.06407513616222191,0.3260758894087279,0.49238851950447116,-0.32852409049425735,0.31304125422935786,-0.49208751824105745,0.2974821044285857,0.12545515970093357,0.05853618063923001,0.008418912753176482,0.15687670157572478,0.8928393003405498,0.00214501639701515,0.8896530842027488,0.8964018468055555,0.6974754391975361,0.01630735332333788,0.6773974176388889,0.7177764658333333,0.1953638611430137,0.015192857821338269,0.17476777166666668,0.21559019583333328,0.1953638611430137,0.015192857821338269,0.17476777166666668,0.21559019583333328
header,low_density,class_conditional,random,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120000.4,0.8,120000.0,120002.0,1.0,0.0,1.0,1.0,0.08184983240834875,0.031010306395735293,0.035185,0.1252774953750771,0.02674887718121365,0.009309506775460295,0.011845635906068231,0.03686125,0.03197432234601645,0.02632101081907329,0.0032870833333333337,0.07829619506341559,0.053497833333333335,0.01861888712959087,0.023691666666666666,0.0737225,0.06394812273479773,0.05264110305734868,0.006574166666666667,0.15658978034065532,0.07229832534857128,0.027033446613523745,0.03308110087371915,0.11221768957778208,-0.003379705192669745,0.038357774061615606,-0.07696677978829472,0.02527130907835882,0.01035920859419508,0.007207901317665801,0.001672793063785991,0.023023796769415288,0.8928393003405498,0.0021450163970152224,0.8896530842027488,0.8964018468055557,0.8887309830707067,0.0042578189850377805,0.8849135606382564,0.8958077142777778,0.0041083172698428965,0.0028252874201367987,0.0005941325277776966,0.007091037333333328,0.0041083172698428965,0.0028252874201367987,0.0005941325277776966,0.007091037333333328
