seed,feature_group,perturbation_type,strength,high_flip_rate,mid_flip_rate,low_flip_rate,high_delta_auc,mid_delta_auc,low_delta_auc,high_auc_drop,mid_auc_drop,low_auc_drop,delta_flip_density,flip_density_ratio,delta_auc_density,auc_drop_density
13,header,important,0.01,0.0257,0.2560760669836124,0.18711510737410522,0.0009150704974824064,0.13328751488206236,0.11141441841390431,0.0009150704974824064,0.13328751488206236,0.11141441841390431,0.16141510737410522,7.280743477591643,0.11049934791642191,0.11049934791642191
13,header,important,0.05,0.14418333333333333,0.22590094125392188,0.36168865259456173,0.0003830362972645496,0.17761566807969198,0.17511710514343037,0.0003830362972645496,0.17761566807969198,0.17511710514343037,0.2175053192612284,2.5085330199599705,0.17473406884616582,0.17473406884616582
13,header,important,0.1,0.07629166666666666,0.4118933828890954,0.365596953358722,0.003784082546159251,0.19628069081639365,0.20239167968563165,0.003784082546159251,0.19628069081639365,0.20239167968563165,0.28930528669205535,4.792095510982703,0.1986075971394724,0.1986075971394724
13,header,random,0.01,0.029627916666666664,0.06616006733361388,0.06023574803543304,0.0007112221477455271,0.007477035148526457,0.007438537272207213,0.0007112221477455271,0.007477035148526457,0.007438537272207213,0.030607831368766374,2.0330740332884147,0.006727315124461686,0.006727315124461686
13,header,random,0.05,0.15838499999999997,0.2562733594723311,0.22052524562295311,0.0028997384931599033,0.0256734474601725,0.021565141359157304,0.0028997384931599033,0.0256734474601725,0.021565141359157304,0.062140245622953144,1.3923366835429691,0.0186654028659974,0.0186654028659974
13,header,random,0.1,0.3786712499999999,0.28985495772899056,0.39088882592645063,0.006186690420223034,0.022250896420415233,0.0229215625936738,0.006186690420223034,0.022250896420415233,0.0229215625936738,0.01221757592645073,1.032264334634464,0.016734872173450765,0.016734872173450765
13,imports,important,0.01,0.05299851089752267,0.12005025664233229,0.09140833333333333,0.03883527484177751,0.026920921452317725,0.022580064145034107,0.03883527484177751,0.026920921452317725,0.022580064145034107,0.038409822435810655,1.7247339931885908,-0.016255210696743405,-0.016255210696743405
13,imports,important,0.05,0.08246816132290614,0.24537626981385988,0.17891666666666667,0.06567653029362164,0.09115961547670093,0.10402125922468053,0.06567653029362164,0.09115961547670093,0.10402125922468053,0.09644850534376052,2.169524138729297,0.03834472893105889,0.03834472893105889
13,imports,important,0.1,0.11477543709843696,0.29116697828960686,0.21529166666666666,0.055834231646603616,0.14035496071304776,0.13410130285234578,0.055834231646603616,0.14035496071304776,0.13410130285234578,0.1005162295682297,1.875764293382931,0.07826707120574217,0.07826707120574217
13,imports,random,0.01,0.008425924961731106,0.027582500684776516,0.026807499999999995,0.000851966476717414,0.0018732033736973074,0.0018681281622216883,0.000851966476717414,0.0018732033736973074,0.0018681281622216883,0.01838157503826889,3.1815498146202805,0.0010161616855042742,0.0010161616855042742
13,imports,random,0.05,0.02410315418979288,0.06949826721766365,0.06287291666666665,0.006181215196223283,0.008961291594070404,0.00782526628704897,0.006181215196223283,0.008961291594070404,0.00782526628704897,0.038769762476873776,2.6084933188242996,0.0016440510908256878,0.0016440510908256878
13,imports,random,0.1,0.04409383428267956,0.11238611868665818,0.10082458333333333,0.02428452491206574,0.020974790866581938,0.015194726122172958,0.02428452491206574,0.020974790866581938,0.015194726122172958,0.05673074905065377,2.286591424255842,-0.009089798789892783,-0.009089798789892783
42,header,important,0.01,0.018666666666666668,0.2348801453339389,0.18323180640161332,0.0011476246428311354,0.12824803711903499,0.1067121451019879,0.0011476246428311354,0.12824803711903499,0.1067121451019879,0.16456513973494666,9.815989628657857,0.10556452045915676,0.10556452045915676
42,header,important,0.05,0.029791666666666668,0.2920470501960425,0.2597478354347047,0.005098162566074427,0.1890059525169111,0.1798727419104249,0.005098162566074427,0.1890059525169111,0.1798727419104249,0.22995616876803804,8.718808462143933,0.17477457934435048,0.17477457934435048
42,header,important,0.1,0.6906666666666667,0.29063037762657346,0.5464204464962792,0.009035353679861524,0.1949464973444287,0.202947461354813,0.009035353679861524,0.1949464973444287,0.202947461354813,-0.14424622017038746,0.7911492951200954,0.19391210767495148,0.19391210767495148
42,header,random,0.01,0.10326166666666665,0.09056204400851671,0.1339130507245773,0.0007308862948012806,0.0032826581631536676,0.004921830745581096,0.0007308862948012806,0.0032826581631536676,0.004921830745581096,0.03065138405791064,1.2968321648037573,0.004190944450779816,0.004190944450779816
42,header,random,0.05,0.18937875,0.18478431160129835,0.23582053482887644,0.002031807571301103,0.007456698323321642,0.006810161981543883,0.002031807571301103,0.007456698323321642,0.006810161981543883,0.046441784828876426,1.245232291526248,0.00477835441024278,0.00477835441024278
42,header,random,0.1,0.30014916666666674,0.30037125154688143,0.33224806459946166,0.0037375772800089524,0.01719111132852843,0.018195270168087058,0.0037375772800089524,0.01719111132852843,0.018195270168087058,0.03209889793279491,1.1069431519309951,0.014457692888078105,0.014457692888078105
42,imports,important,0.01,0.046641340276671106,0.10582659840054162,0.09539161293547259,0.024194018298056785,0.03382868736964606,0.04362964450092266,0.024194018298056785,0.03382868736964606,0.04362964450092266,0.04875027265880148,2.0452159472609583,0.019435626202865874,0.019435626202865874
42,imports,important,0.05,0.17371881538295456,0.34193712182118224,0.19247430066143517,0.14287228306221222,0.10702899940777233,0.12382195712965482,0.14287228306221222,0.10702899940777233,0.12382195712965482,0.018755485278480616,1.107964616481727,-0.0190503259325574,-0.0190503259325574
42,imports,important,0.1,0.20932826805533422,0.40707001710683005,0.2098682127921894,0.19223509397259286,0.16024776180634337,0.1315945743217244,0.19223509397259286,0.16024776180634337,0.1315945743217244,0.0005399447368551746,1.0025794162530999,-0.060640519650868474,-0.060640519650868474
42,imports,random,0.01,0.010734756614762989,0.039329992564875994,0.038521517468885894,-0.005376755803620997,0.003201718842844992,0.002068141737693269,-0.005376755803620997,0.003201718842844992,0.002068141737693269,0.027786760854122905,3.5884854078488493,0.007444897541314267,0.007444897541314267
42,imports,random,0.05,0.018586622936661752,0.08268583276411315,0.08529972842838339,-0.0017261575176658994,0.011531050624709849,0.006399439849396493,-0.0017261575176658994,0.011531050624709849,0.006399439849396493,0.06671310549172163,4.589307520740163,0.008125597367062393,0.008125597367062393
42,imports,random,0.1,0.023443789294031164,0.09963005724441006,0.09411039469519002,-0.0007203330337897773,0.019990948300780475,0.013789568454670836,-0.0007203330337897773,0.019990948300780475,0.013789568454670836,0.07066660540115885,4.014299630271405,0.014509901488460613,0.014509901488460613
77,header,important,0.01,0.025741666666666666,0.2659761082337843,0.1990233414721544,0.0017618520764897116,0.1579663030168248,0.11648944972715602,0.0017618520764897116,0.1579663030168248,0.11648944972715602,0.17328167480548773,7.731563928992725,0.11472759765066631,0.11472759765066631
77,header,important,0.05,0.05273333333333333,0.38197659156913155,0.298764176965192,-0.001243305806212902,0.15220534631300442,0.13462289797916183,-0.001243305806212902,0.15220534631300442,0.13462289797916183,0.24603084363185865,5.665565934864576,0.13586620378537473,0.13586620378537473
77,header,important,0.1,0.7041,0.3002470843628515,0.5716119032341397,0.006071845441529167,0.17629992155489937,0.18137724644347908,0.006071845441529167,0.17629992155489937,0.18137724644347908,-0.13248809676586026,0.8118334089392696,0.1753054010019499,0.1753054010019499
77,header,random,0.01,0.0159825,0.03382659927749699,0.03374513545720452,1.3696103177679442e-05,0.0003244791048372109,0.0006283228416780528,1.3696103177679442e-05,0.0003244791048372109,0.0006283228416780528,0.01776263545720452,2.111380288265573,0.0006146267385003734,0.0006146267385003734
77,header,random,0.05,0.2113375,0.2249046871028629,0.2628386430113082,0.0020672447460295005,0.0069259577076236645,0.009175706624068896,0.0020672447460295005,0.0069259577076236645,0.009175706624068896,0.051501143011308204,1.24369145566361,0.0071084618780393955,0.0071084618780393955
77,header,random,0.1,0.2656295833333333,0.2236136400568336,0.3073082724310631,0.00807044426767663,0.021007915075098655,0.021860333817359755,0.00807044426767663,0.021007915075098655,0.021860333817359755,0.041678689097729815,1.156905298629438,0.013789889549683125,0.013789889549683125
77,imports,important,0.01,0.0549609333190624,0.11487913084730918,0.09460281483580124,0.042500159037290985,0.02266069315143393,0.029998361167995036,0.042500159037290985,0.02266069315143393,0.029998361167995036,0.03964188151673884,1.7212738052792425,-0.01250179786929595,-0.01250179786929595
77,imports,important,0.05,0.08642239585191527,0.21821613083166944,0.16006566283633455,0.02390200925883057,0.06809558566715501,0.08702512259782091,0.02390200925883057,0.06809558566715501,0.08702512259782091,0.07364326698441928,1.8521317450005317,0.06312311333899034,0.06312311333899034
