seed,feature_group,density_bin,n_samples,n_benign,n_malware,benign_to_malware_ratio,n_packed_malware,packed_ratio,week_distribution_json,density_definition,thresholds_json
13,header,high_density,120107,60000,60107,0.9982198412830452,698,0.01161262415359276,"{""2024-09-22_2024-09-28"": 11222, ""2024-09-29_2024-10-05"": 14759, ""2024-10-06_2024-10-12"": 11864, ""2024-10-13_2024-10-19"": 11359, ""2024-10-20_2024-10-26"": 10642, ""2024-10-27_2024-11-02"": 8085, ""2024-11-03_2024-11-09"": 8251, ""2024-11-10_2024-11-16"": 8405, ""2024-11-17_2024-11-23"": 9296, ""2024-11-24_2024-11-30"": 9356, ""2024-12-01_2024-12-07"": 8275, ""2024-12-08_2024-12-14"": 8593}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}"
13,header,mid_density,239893,120000,119893,1.0008924624456808,9284,0.07743571351121417,"{""2024-09-22_2024-09-28"": 21030, ""2024-09-29_2024-10-05"": 17858, ""2024-10-06_2024-10-12"": 18326, ""2024-10-13_2024-10-19"": 18787, ""2024-10-20_2024-10-26"": 19594, ""2024-10-27_2024-11-02"": 20987, ""2024-11-03_2024-11-09"": 20833, ""2024-11-10_2024-11-16"": 21234, ""2024-11-17_2024-11-23"": 20619, ""2024-11-24_2024-11-30"": 20547, ""2024-12-01_2024-12-07"": 19101, ""2024-12-08_2024-12-14"": 20977}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}"
13,header,low_density,120000,60000,60000,1.0,8946,0.1491,"{""2024-09-22_2024-09-28"": 7748, ""2024-09-29_2024-10-05"": 7383, ""2024-10-06_2024-10-12"": 9810, ""2024-10-13_2024-10-19"": 9854, ""2024-10-20_2024-10-26"": 9764, ""2024-10-27_2024-11-02"": 10928, ""2024-11-03_2024-11-09"": 10916, ""2024-11-10_2024-11-16"": 10361, ""2024-11-17_2024-11-23"": 10085, ""2024-11-24_2024-11-30"": 10097, ""2024-12-01_2024-12-07"": 12624, ""2024-12-08_2024-12-14"": 10430}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}"
13,imports,high_density,192062,97494,94568,1.0309406987564504,10270,0.10859910329075374,"{""2024-09-22_2024-09-28"": 19223, ""2024-09-29_2024-10-05"": 19399, ""2024-10-06_2024-10-12"": 17249, ""2024-10-13_2024-10-19"": 16703, ""2024-10-20_2024-10-26"": 17139, ""2024-10-27_2024-11-02"": 15107, ""2024-11-03_2024-11-09"": 15247, ""2024-11-10_2024-11-16"": 15581, ""2024-11-17_2024-11-23"": 15625, ""2024-11-24_2024-11-30"": 15044, ""2024-12-01_2024-12-07"": 12049, ""2024-12-08_2024-12-14"": 13696}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.4080830510427167, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.12741874371180054, ""low_quantile"": 0.25}"
13,imports,mid_density,167383,82506,84877,0.9720654594295274,5164,0.06084098165580781,"{""2024-09-22_2024-09-28"": 12948, ""2024-09-29_2024-10-05"": 13457, ""2024-10-06_2024-10-12"": 12494, ""2024-10-13_2024-10-19"": 13717, ""2024-10-20_2024-10-26"": 13181, ""2024-10-27_2024-11-02"": 13958, ""2024-11-03_2024-11-09"": 13998, ""2024-11-10_2024-11-16"": 13687, ""2024-11-17_2024-11-23"": 13794, ""2024-11-24_2024-11-30"": 14652, ""2024-12-01_2024-12-07"": 16437, ""2024-12-08_2024-12-14"": 15060}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.4080830510427167, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.12741874371180054, ""low_quantile"": 0.25}"
13,imports,low_density,120555,60000,60555,0.9908347783007183,3494,0.057699611923045166,"{""2024-09-22_2024-09-28"": 7829, ""2024-09-29_2024-10-05"": 7144, ""2024-10-06_2024-10-12"": 10257, ""2024-10-13_2024-10-19"": 9580, ""2024-10-20_2024-10-26"": 9680, ""2024-10-27_2024-11-02"": 10935, ""2024-11-03_2024-11-09"": 10755, ""2024-11-10_2024-11-16"": 10732, ""2024-11-17_2024-11-23"": 10581, ""2024-11-24_2024-11-30"": 10304, ""2024-12-01_2024-12-07"": 11514, ""2024-12-08_2024-12-14"": 11244}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.4080830510427167, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.12741874371180054, ""low_quantile"": 0.25}"
42,header,high_density,120070,60000,60070,0.9988346928583319,695,0.011569835192275679,"{""2024-09-22_2024-09-28"": 11171, ""2024-09-29_2024-10-05"": 14822, ""2024-10-06_2024-10-12"": 11842, ""2024-10-13_2024-10-19"": 11561, ""2024-10-20_2024-10-26"": 10685, ""2024-10-27_2024-11-02"": 8447, ""2024-11-03_2024-11-09"": 8351, ""2024-11-10_2024-11-16"": 8422, ""2024-11-17_2024-11-23"": 9243, ""2024-11-24_2024-11-30"": 9161, ""2024-12-01_2024-12-07"": 8015, ""2024-12-08_2024-12-14"": 8350}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.766348336927132e-05, ""label_0_q_low"": -0.011107549951835868, ""label_1_q_high"": -3.941291737419306e-15, ""label_1_q_low"": -0.026472043548053614, ""low_quantile"": 0.25}"
42,header,mid_density,239928,120000,119928,1.0006003602161297,8918,0.07436128343672871,"{""2024-09-22_2024-09-28"": 21139, ""2024-09-29_2024-10-05"": 17990, ""2024-10-06_2024-10-12"": 18469, ""2024-10-13_2024-10-19"": 18678, ""2024-10-20_2024-10-26"": 19631, ""2024-10-27_2024-11-02"": 20502, ""2024-11-03_2024-11-09"": 20275, ""2024-11-10_2024-11-16"": 20549, ""2024-11-17_2024-11-23"": 20960, ""2024-11-24_2024-11-30"": 21079, ""2024-12-01_2024-12-07"": 19264, ""2024-12-08_2024-12-14"": 21392}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.766348336927132e-05, ""label_0_q_low"": -0.011107549951835868, ""label_1_q_high"": -3.941291737419306e-15, ""label_1_q_low"": -0.026472043548053614, ""low_quantile"": 0.25}"
42,header,low_density,120002,60000,60002,0.9999666677777408,9343,0.15571147628412385,"{""2024-09-22_2024-09-28"": 7690, ""2024-09-29_2024-10-05"": 7188, ""2024-10-06_2024-10-12"": 9689, ""2024-10-13_2024-10-19"": 9761, ""2024-10-20_2024-10-26"": 9684, ""2024-10-27_2024-11-02"": 11051, ""2024-11-03_2024-11-09"": 11374, ""2024-11-10_2024-11-16"": 11029, ""2024-11-17_2024-11-23"": 9797, ""2024-11-24_2024-11-30"": 9760, ""2024-12-01_2024-12-07"": 12721, ""2024-12-08_2024-12-14"": 10258}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.766348336927132e-05, ""label_0_q_low"": -0.011107549951835868, ""label_1_q_high"": -3.941291737419306e-15, ""label_1_q_low"": -0.026472043548053614, ""low_quantile"": 0.25}"
42,imports,high_density,194527,97973,96554,1.0146964392982165,9720,0.10066905565797378,"{""2024-09-22_2024-09-28"": 19575, ""2024-09-29_2024-10-05"": 19795, ""2024-10-06_2024-10-12"": 17652, ""2024-10-13_2024-10-19"": 17232, ""2024-10-20_2024-10-26"": 17428, ""2024-10-27_2024-11-02"": 15174, ""2024-11-03_2024-11-09"": 14047, ""2024-11-10_2024-11-16"": 15323, ""2024-11-17_2024-11-23"": 16091, ""2024-11-24_2024-11-30"": 15470, ""2024-12-01_2024-12-07"": 12759, ""2024-12-08_2024-12-14"": 13981}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.40949738534105273, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.12018155274216, ""low_quantile"": 0.25}"
42,imports,mid_density,165316,82027,83289,0.9848479391036031,5413,0.06499057498589249,"{""2024-09-22_2024-09-28"": 12582, ""2024-09-29_2024-10-05"": 13040, ""2024-10-06_2024-10-12"": 11953, ""2024-10-13_2024-10-19"": 13105, ""2024-10-20_2024-10-26"": 12740, ""2024-10-27_2024-11-02"": 13805, ""2024-11-03_2024-11-09"": 15305, ""2024-11-10_2024-11-16"": 14007, ""2024-11-17_2024-11-23"": 13554, ""2024-11-24_2024-11-30"": 14419, ""2024-12-01_2024-12-07"": 15669, ""2024-12-08_2024-12-14"": 15137}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.40949738534105273, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.12018155274216, ""low_quantile"": 0.25}"
42,imports,low_density,120157,60000,60157,0.9973901624083648,3823,0.0635503765147863,"{""2024-09-22_2024-09-28"": 7843, ""2024-09-29_2024-10-05"": 7165, ""2024-10-06_2024-10-12"": 10395, ""2024-10-13_2024-10-19"": 9663, ""2024-10-20_2024-10-26"": 9832, ""2024-10-27_2024-11-02"": 11021, ""2024-11-03_2024-11-09"": 10648, ""2024-11-10_2024-11-16"": 10670, ""2024-11-17_2024-11-23"": 10355, ""2024-11-24_2024-11-30"": 10111, ""2024-12-01_2024-12-07"": 11572, ""2024-12-08_2024-12-14"": 10882}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.40949738534105273, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.12018155274216, ""low_quantile"": 0.25}"
