feature_group,density_bin,density_definition,perturbation_type,strength,n_rows,thresholds_json,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,high_density,class_conditional,important,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120064.8,48.23028094465136,120024.0,120157.0,1.0,0.0,1.0,1.0,0.00018823401999062465,0.00019108018677357213,0.0,0.0004331312054374625,0.00010327850844910101,0.00016605693453470362,0.0,0.0004331312054374625,0.0,0.0,0.0,0.0,0.00020666611112037022,0.00033226515515715,0.0,0.0008666666666666666,0.0,0.0,0.0,0.0,0.00676028651086257,0.007539087458797394,0.0006232511801246139,0.01796359750452519,0.006319637059369887,0.007883685269340617,-0.00048223537801093486,0.01796159754662864,-0.005933620180310769,0.0075893142932454615,-0.017573003585337525,0.00028512236805223437,0.9999499723859572,1.556506815417663e-05,0.9999282223226407,0.9999676216087208,0.9999503410244788,1.6231769868392785e-05,0.999930315261419,0.999971972005306,-3.6863852179713776e-07,5.540623960650817e-06,-7.737738188628995e-06,8.093266712583258e-06,-3.6863852179713776e-07,5.540623960650817e-06,-7.737738188628995e-06,8.093266712583258e-06
header,high_density,class_conditional,important,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120064.8,48.23028094465136,120024.0,120157.0,4.0,0.0,4.0,4.0,0.029842029305284824,0.014606099395520256,0.012641793653303594,0.05343206256923679,0.007202790487952958,0.003544740534742114,0.004422825444156623,0.014118411408009596,0.0202022885442406,0.01641036972208107,0.0006080495768641301,0.04511948292089723,0.01441321677972034,0.007092702096504833,0.00885,0.02825,0.04038953840823106,0.03280800849723085,0.0012155321699746902,0.09019464193543016,0.09637657976792358,0.022640283234355837,0.06856698909994716,0.12305362320664105,0.025043784156898553,0.0699323341932928,-0.10910546268035166,0.08691736148704293,-0.08238207106832565,0.018123380308927243,-0.11204366827117532,-0.06277444823277196,0.9999499723859572,1.556506815417663e-05,0.9999282223226407,0.9999676216087208,0.9980246404260212,0.001025631956031662,0.9962715513078805,0.9989067976832735,0.0019253319599357832,0.0010278917661903678,0.001060823925447263,0.003695483330280913,0.0019253319599357832,0.0010278917661903678,0.001060823925447263,0.003695483330280913
header,high_density,class_conditional,important,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120064.8,48.23028094465136,120024.0,120157.0,8.0,0.0,8.0,8.0,0.051761890030241245,0.021767498720620473,0.02717278227652155,0.087737861165728,0.047615702047041394,0.023634614108017052,0.024979385135641644,0.08702969307161662,0.0029985114861112903,0.0028004006422497883,0.0006831739260839138,0.006821646024038181,0.09526884646367004,0.047264847481770615,0.04998333333333333,0.17409709838169363,0.005994063794380923,0.005598171405461185,0.001366051943292185,0.013636590685825605,0.14866058913752883,0.03378280709936857,0.0952830542162004,0.19450112483268495,0.04591171216943359,0.05927303051164597,-0.059661526904716246,0.11870293481559205,-0.12861851672172517,0.03448175119588189,-0.16817615264659358,-0.08407986368196424,0.9999499723859572,1.556506815417663e-05,0.9999282223226407,0.9999676216087208,0.9903308917316626,0.005354570912983079,0.9800328678188671,0.9939085087187636,0.009619080654294399,0.005363209377152344,0.006019713603877097,0.019934166819294274,0.009619080654294399,0.005363209377152344,0.006019713603877097,0.019934166819294274
header,high_density,class_conditional,random,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120064.8,48.23028094465136,120024.0,120157.0,1.0,0.0,1.0,1.0,0.0016071291804061424,0.0009367932491205559,0.0006023795240951809,0.003322736086952903,0.0007429945482244512,0.0004576803397239084,0.0003044336534537186,0.001527143666477822,0.0006389612785075155,0.0007026655017832312,0.0,0.0019058398595171318,0.001486813864213374,0.0009157334744950698,0.0006091666666666666,0.0030549490841819296,0.001276694077028783,0.0014035417995484935,0.0,0.0038067690670922265,0.0040014246354150105,0.001474732816150242,0.001736530754292977,0.006269677913844082,0.0007752519110671224,0.0009151349368416463,-0.0006407714926347806,0.001990595098354037,-0.0022491792735638465,0.0009966965633913263,-0.0032251093184883935,-0.0006400523381893886,0.999949972385957,1.556506815423165e-05,0.9999282223226407,0.999967621608721,0.9998933043018405,4.687173402476147e-05,0.9998080983720751,0.9999357393082491,5.666808411636359e-05,5.5365796769057466e-05,4.762469981600681e-06,0.00015952323664580325,5.666808411636359e-05,5.5365796769057466e-05,4.762469981600681e-06,0.00015952323664580325
header,high_density,class_conditional,random,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120064.8,48.23028094465136,120024.0,120157.0,4.0,0.0,4.0,4.0,0.009235165212323763,0.0011258951075303826,0.00833617683530714,0.011430213957208557,0.006846907758147397,0.001963327568102753,0.003344790565676573,0.008972372192228219,0.0017874351194710806,0.001278156703322395,0.00010247608891258706,0.00390738783425019,0.013699529377288156,0.003924802903160119,0.006698221696305062,0.01794803419943001,0.003572118845320782,0.002552984865129791,0.00020490779149382778,0.007804707759824456,0.017252403715134045,0.0035036200939107197,0.014270402951404882,0.024012382710129215,0.007320079425951559,0.003519628174490168,0.001012869997785298,0.010957897089269409,-0.010966425158942406,0.0030187764796902146,-0.016868693859456142,-0.008549821638415738,0.999949972385957,1.556506815423165e-05,0.9999282223226407,0.999967621608721,0.9997614807339608,9.836241630474562e-05,0.9996085405982195,0.9998886677197879,0.0001884916519962865,0.00011019713726772952,5.9907112342660884e-05,0.0003590810105013276,0.0001884916519962865,0.00011019713726772952,5.9907112342660884e-05,0.0003590810105013276
header,high_density,class_conditional,random,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120064.8,48.23028094465136,120024.0,120157.0,8.0,0.0,8.0,8.0,0.022675639682599343,0.004158768780819057,0.017619031766771806,0.029100169920703668,0.018469700866457932,0.004044439026842406,0.013865609161347239,0.02589541547277937,0.0036191762891632402,0.0025822822733723664,0.0006794248008797946,0.008439600529739546,0.03695749807503208,0.008087630697756686,0.027767037216046397,0.051814999999999986,0.007234423939860747,0.0051621821329541065,0.0013585553167741184,0.016870910271566293,0.032675484883733195,0.004815456385657645,0.027499136485458153,0.041055395581615535,0.013333311426155164,0.008634908928624513,-0.0027798195070435966,0.019820783821017374,-0.017448555917950914,0.004315830494150746,-0.02579522558824638,-0.014006797671612656,0.999949972385957,1.556506815423165e-05,0.9999282223226407,0.999967621608721,0.999349582477582,0.00019597539106775653,0.9989846927589807,0.9995672844302336,0.0006003899083750952,0.00020445302123294157,0.00038129040189713304,0.0009829288497402665,0.0006003899083750952,0.00020445302123294157,0.00038129040189713304,0.0009829288497402665
header,low_density,class_conditional,important,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120009.2,14.99866660740214,120000.0,120039.0,1.0,0.0,1.0,1.0,0.033687704698882937,0.03408181107727956,0.003899837506770551,0.07730768910259081,0.024076362093321823,0.027239756799757934,0.00027498854214407734,0.059199506670777745,0.0007015776504935934,0.0005938828270684931,8.333263889467588e-06,0.0014499395858505895,0.04815255501297201,0.05447886968749328,0.0005499908334861086,0.118398026699555,0.0014029950812055859,0.0011876291325940598,1.6666666666666667e-05,0.0028998066795546964,0.03464024211936541,0.036635910869184565,0.003946609774903357,0.08133051330590545,0.03140550005494315,0.03922733608454216,-0.0027621826281439502,0.08123646879538725,-0.01820284421634174,0.021619522404818643,-0.04556446678966247,3.506689761596838e-05,0.9592367319416489,0.00183910527813727,0.9559326955661849,0.961160155336785,0.9509463257121722,0.011060779312719135,0.9324255904068266,0.9606694034973275,0.008290406229476544,0.00989765617051587,-1.2108713149272532e-05,0.023507105159358277,0.008290406229476544,0.00989765617051587,-1.2108713149272532e-05,0.023507105159358277
header,low_density,class_conditional,important,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120009.2,14.99866660740214,120000.0,120039.0,4.0,0.0,4.0,4.0,0.20906587326603981,0.01959607166589853,0.18979166666666666,0.23912336985958918,0.0995479775629562,0.05003720027114116,0.005241448272988626,0.1524403963300306,0.06399291656028787,0.06627492550124339,0.018491512570728577,0.19583350693721094,0.1991107189324622,0.10008204527450401,0.010483158614023099,0.3048782520291328,0.1279802206788266,0.1325477660283743,0.03698333333333333,0.39165722285180987,0.19211716816348595,0.014801494600244405,0.17513387199113092,0.21302194824316753,0.04742653489483324,0.12462802309832632,-0.19720395514674866,0.15007661637278435,-0.06545683250851961,0.018288150614932365,-0.0764744260767693,-0.028974482791653582,0.9592367319416489,0.00183910527813727,0.9559326955661849,0.961160155336785,0.8958834451808559,0.006802649276070441,0.8905929983448164,0.9091935506383428,0.06335328676079274,0.006986216439934578,0.05027987495455388,0.07056715699196858,0.06335328676079274,0.006986216439934578,0.05027987495455388,0.07056715699196858
header,low_density,class_conditional,important,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120009.2,14.99866660740214,120000.0,120039.0,8.0,0.0,8.0,8.0,0.32502247005941254,0.06465834559758091,0.23259806168281932,0.4238372528928098,0.25114731406149227,0.07307403640497015,0.1469321088990925,0.3635401827739318,0.018734490097687167,0.010156066966609438,0.002782429043894068,0.030198741719095038,0.5023400847763648,0.14621610597626314,0.29386176897051713,0.7273045449242512,0.03746849005552859,0.020312422911187508,0.005563143342549718,0.060395973601759884,0.28150271607984967,0.03602151649068863,0.23968132009475676,0.3417326569319118,0.18797495558002741,0.06741246867060871,0.09423462388338129,0.2911691332140752,-0.10479836796936821,0.03344062936813546,-0.1589610423954312,-0.06736123324620225,0.9592367319416489,0.00183910527813727,0.9559326955661849,0.961160155336785,0.8359614554988644,0.0200921918394419,0.8071092860952318,0.8647233323889045,0.1232752764427844,0.021759099579252372,0.09120936317728034,0.15358963795047853,0.1232752764427844,0.021759099579252372,0.09120936317728034,0.15358963795047853
header,low_density,class_conditional,random,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",120009.2,14.99866660740214,120000.0,120039.0,1.0,0.0,1.0,1.0,0.018863350875352503,0.0068482293230976545,0.00948691675205558,0.030603750000000006,0.007425954379554028,0.0029753001808472046,0.0034813685552195542,0.010906575778535179,0.005133943601203004,0.0029712751772710652,0.002366646944608795,0.010167083333333334,0.014852320964095042,0.00594994039067387,0.006964883918601355,0.021812969783836934,0.010267544614818483,0.005942774752398937,0.004733333333333333,0.020334166666666667,0.019126681412145168,0.006690709360553458,0.009552303155070819,0.030303950020170667,0.00378901200363541,0.005110416090055186,-0.0027926015892200365,0.01228186713496313,-0.003577465292616433,0.0015610682396324435,-0.00586492834903587,-0.0016332394287543496,0.9592367319416487,0.001839105278137421,0.9559326955661845,0.961160155336785,0.9570041827781676,0.002711553907768398,0.9528092707343767,0.9605442493974244,0.0022325491634811656,0.001025644632662381,0.000615905939360395,0.0034464686458334005,0.0022325491634811656,0.001025644632662381,0.000615905939360395,0.0034464686458334005
