seed,feature_group,density_bin,n_samples,n_benign,n_malware,benign_to_malware_ratio,n_packed_malware,packed_ratio,week_distribution_json,density_definition,thresholds_json
13,header,high_density,120059,60000,60059,0.9990176326612165,645,0.010739439551108078,"{""2024-09-22_2024-09-28"": 11125, ""2024-09-29_2024-10-05"": 14763, ""2024-10-06_2024-10-12"": 11944, ""2024-10-13_2024-10-19"": 11504, ""2024-10-20_2024-10-26"": 10578, ""2024-10-27_2024-11-02"": 8157, ""2024-11-03_2024-11-09"": 8314, ""2024-11-10_2024-11-16"": 8383, ""2024-11-17_2024-11-23"": 9356, ""2024-11-24_2024-11-30"": 9289, ""2024-12-01_2024-12-07"": 8169, ""2024-12-08_2024-12-14"": 8477}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}"
13,header,mid_density,239936,119999,119937,1.0005169380591477,9690,0.08079241601840967,"{""2024-09-22_2024-09-28"": 20881, ""2024-09-29_2024-10-05"": 17893, ""2024-10-06_2024-10-12"": 18353, ""2024-10-13_2024-10-19"": 18654, ""2024-10-20_2024-10-26"": 19771, ""2024-10-27_2024-11-02"": 20751, ""2024-11-03_2024-11-09"": 20969, ""2024-11-10_2024-11-16"": 21399, ""2024-11-17_2024-11-23"": 20625, ""2024-11-24_2024-11-30"": 20588, ""2024-12-01_2024-12-07"": 19141, ""2024-12-08_2024-12-14"": 20911}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}"
13,header,low_density,120005,60001,60004,0.9999500033331111,8593,0.14320711952536497,"{""2024-09-22_2024-09-28"": 7994, ""2024-09-29_2024-10-05"": 7344, ""2024-10-06_2024-10-12"": 9703, ""2024-10-13_2024-10-19"": 9842, ""2024-10-20_2024-10-26"": 9651, ""2024-10-27_2024-11-02"": 11092, ""2024-11-03_2024-11-09"": 10717, ""2024-11-10_2024-11-16"": 10218, ""2024-11-17_2024-11-23"": 10019, ""2024-11-24_2024-11-30"": 10123, ""2024-12-01_2024-12-07"": 12690, ""2024-12-08_2024-12-14"": 10612}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}"
13,imports,high_density,167909,95135,72774,1.307266331382087,5538,0.07609860664523044,"{""2024-09-22_2024-09-28"": 17453, ""2024-09-29_2024-10-05"": 16809, ""2024-10-06_2024-10-12"": 14855, ""2024-10-13_2024-10-19"": 13522, ""2024-10-20_2024-10-26"": 14054, ""2024-10-27_2024-11-02"": 13223, ""2024-11-03_2024-11-09"": 14425, ""2024-11-10_2024-11-16"": 13894, ""2024-11-17_2024-11-23"": 13970, ""2024-11-24_2024-11-30"": 13370, ""2024-12-01_2024-12-07"": 11051, ""2024-12-08_2024-12-14"": 11283}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -4.440892098500626e-16, ""label_0_q_low"": -0.421526563690926, ""label_1_q_high"": -4.440892098500626e-16, ""label_1_q_low"": -0.14120163563155902, ""low_quantile"": 0.25}"
13,imports,mid_density,192090,84864,107226,0.7914498349280958,9856,0.09191800496148322,"{""2024-09-22_2024-09-28"": 14566, ""2024-09-29_2024-10-05"": 15927, ""2024-10-06_2024-10-12"": 14798, ""2024-10-13_2024-10-19"": 16744, ""2024-10-20_2024-10-26"": 16227, ""2024-10-27_2024-11-02"": 15847, ""2024-11-03_2024-11-09"": 14729, ""2024-11-10_2024-11-16"": 15501, ""2024-11-17_2024-11-23"": 15640, ""2024-11-24_2024-11-30"": 16622, ""2024-12-01_2024-12-07"": 17707, ""2024-12-08_2024-12-14"": 17782}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -4.440892098500626e-16, ""label_0_q_low"": -0.421526563690926, ""label_1_q_high"": -4.440892098500626e-16, ""label_1_q_low"": -0.14120163563155902, ""low_quantile"": 0.25}"
13,imports,low_density,120001,60001,60000,1.0000166666666668,3534,0.0589,"{""2024-09-22_2024-09-28"": 7981, ""2024-09-29_2024-10-05"": 7264, ""2024-10-06_2024-10-12"": 10347, ""2024-10-13_2024-10-19"": 9734, ""2024-10-20_2024-10-26"": 9719, ""2024-10-27_2024-11-02"": 10930, ""2024-11-03_2024-11-09"": 10846, ""2024-11-10_2024-11-16"": 10605, ""2024-11-17_2024-11-23"": 10390, ""2024-11-24_2024-11-30"": 10008, ""2024-12-01_2024-12-07"": 11242, ""2024-12-08_2024-12-14"": 10935}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -4.440892098500626e-16, ""label_0_q_low"": -0.421526563690926, ""label_1_q_high"": -4.440892098500626e-16, ""label_1_q_low"": -0.14120163563155902, ""low_quantile"": 0.25}"
42,header,high_density,120157,60001,60156,0.9974233659152869,683,0.011353813418445375,"{""2024-09-22_2024-09-28"": 11294, ""2024-09-29_2024-10-05"": 14989, ""2024-10-06_2024-10-12"": 11860, ""2024-10-13_2024-10-19"": 11467, ""2024-10-20_2024-10-26"": 10566, ""2024-10-27_2024-11-02"": 8451, ""2024-11-03_2024-11-09"": 8432, ""2024-11-10_2024-11-16"": 8350, ""2024-11-17_2024-11-23"": 9187, ""2024-11-24_2024-11-30"": 9130, ""2024-12-01_2024-12-07"": 8024, ""2024-12-08_2024-12-14"": 8407}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011055246229632054, ""label_0_q_low"": -0.01350835274641863, ""label_1_q_high"": -2.3214763444912023e-14, ""label_1_q_low"": -0.029636216038243093, ""low_quantile"": 0.25}"
42,header,mid_density,239843,119999,119844,1.0012933480190915,8753,0.07303661426521144,"{""2024-09-22_2024-09-28"": 20883, ""2024-09-29_2024-10-05"": 17777, ""2024-10-06_2024-10-12"": 18362, ""2024-10-13_2024-10-19"": 18611, ""2024-10-20_2024-10-26"": 19655, ""2024-10-27_2024-11-02"": 20413, ""2024-11-03_2024-11-09"": 20845, ""2024-11-10_2024-11-16"": 21284, ""2024-11-17_2024-11-23"": 20856, ""2024-11-24_2024-11-30"": 20888, ""2024-12-01_2024-12-07"": 19135, ""2024-12-08_2024-12-14"": 21134}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011055246229632054, ""label_0_q_low"": -0.01350835274641863, ""label_1_q_high"": -2.3214763444912023e-14, ""label_1_q_low"": -0.029636216038243093, ""low_quantile"": 0.25}"
42,header,low_density,120000,60000,60000,1.0,9520,0.15866666666666668,"{""2024-09-22_2024-09-28"": 7823, ""2024-09-29_2024-10-05"": 7234, ""2024-10-06_2024-10-12"": 9778, ""2024-10-13_2024-10-19"": 9922, ""2024-10-20_2024-10-26"": 9779, ""2024-10-27_2024-11-02"": 11136, ""2024-11-03_2024-11-09"": 10723, ""2024-11-10_2024-11-16"": 10366, ""2024-11-17_2024-11-23"": 9957, ""2024-11-24_2024-11-30"": 9982, ""2024-12-01_2024-12-07"": 12841, ""2024-12-08_2024-12-14"": 10459}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011055246229632054, ""label_0_q_low"": -0.01350835274641863, ""label_1_q_high"": -2.3214763444912023e-14, ""label_1_q_low"": -0.029636216038243093, ""low_quantile"": 0.25}"
42,imports,high_density,166432,99836,66596,1.4991290768214307,9038,0.13571385668808938,"{""2024-09-22_2024-09-28"": 17540, ""2024-09-29_2024-10-05"": 16406, ""2024-10-06_2024-10-12"": 13903, ""2024-10-13_2024-10-19"": 13428, ""2024-10-20_2024-10-26"": 13507, ""2024-10-27_2024-11-02"": 11976, ""2024-11-03_2024-11-09"": 14593, ""2024-11-10_2024-11-16"": 13544, ""2024-11-17_2024-11-23"": 13561, ""2024-11-24_2024-11-30"": 13945, ""2024-12-01_2024-12-07"": 11958, ""2024-12-08_2024-12-14"": 12071}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -6.661338147750939e-16, ""label_0_q_low"": -0.4243743800027555, ""label_1_q_high"": -4.440892098500626e-16, ""label_1_q_low"": -0.14032901613676874, ""low_quantile"": 0.25}"
