feature_group,density_definition,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,class_conditional,important,0.01,5,0.002531323820728606,0.004163385865036874,8.029613213531504e-06,0.01082196566544527,0.02913900425319025,0.021695500042204705,0.008372667779099435,0.06817011288511386,0.04268806216088302,0.025328218163632538,0.012257822590725387,0.07771640883379569,0.0005198218331866177,0.0006069299922547735,-0.00025255784989619556,0.0012306749856166865,0.011972694937409444,0.010019671671312659,-0.0004509159425195586,0.021354121601680376,0.011195023026306683,0.007637509787133517,0.002021507649894061,0.020015647239212675,0.0005198218331866177,0.0006069299922547735,-0.00025255784989619556,0.0012306749856166865,0.011972694937409444,0.010019671671312659,-0.0004509159425195586,0.021354121601680376,0.011195023026306683,0.007637509787133517,0.002021507649894061,0.020015647239212675,0.040156738340154416,0.022955613436492005,0.011560651941609715,0.06689444316835041,1465.2447363839544,2580.41688914912,7.181357919286842,6599.529175,0.010675201193120066,0.0070713595822569615,0.0021886464161138264,0.019080245046921185,0.010675201193120066,0.0070713595822569615,0.0021886464161138264,0.019080245046921185
header,class_conditional,important,0.05,5,0.020487451189076085,0.001402650092269523,0.018466722550980603,0.02251503545074234,0.16653639693966246,0.011612095553442784,0.14965535693809165,0.17755975649912614,0.19575524182145826,0.014967480157809607,0.176425,0.21828738993160557,0.0009143463596423595,0.0002309738465215699,0.0006705130854562924,0.0012844653185161148,0.03623580799921897,0.003692686315957554,0.029863051869417512,0.0392473257954864,0.03790063598478184,0.0028511749922565687,0.03339179069237763,0.04109678824797358,0.0009143463596423595,0.0002309738465215699,0.0006705130854562924,0.0012844653185161148,0.03623580799921897,0.003692686315957554,0.029863051869417512,0.0392473257954864,0.03790063598478184,0.0028511749922565687,0.03339179069237763,0.04109678824797358,0.17526779063238215,0.015151961509803712,0.15390996454925765,0.19678157678112987,9.602450325512143,0.970366486273472,7.835874848430813,10.476251286494534,0.03698628962513948,0.0028766790034642628,0.03256903388475674,0.04002470237269995,0.03698628962513948,0.0028766790034642628,0.03256903388475674,0.04002470237269995
header,class_conditional,important,0.1,5,0.07359179400925463,0.012295800462923865,0.05506474156011369,0.0892793413397296,0.2392190281981946,0.03316445777072686,0.21131318905332533,0.29634938353036683,0.24798463926373832,0.023381229776232856,0.21362321980650162,0.2764634806883047,0.015853120060019422,0.008497183345623438,0.010237627706231711,0.03258889292045741,0.09123868804276554,0.022744387499662656,0.06385992023450193,0.12922411774044118,0.10846224988529515,0.02892980650415653,0.07520365174469323,0.1553708039270385,0.015853120060019422,0.008497183345623438,0.010237627706231711,0.03258889292045741,0.09123868804276554,0.022744387499662656,0.06385992023450193,0.12922411774044118,0.10846224988529515,0.02892980650415653,0.07520365174469323,0.1553708039270385,0.17439284525448367,0.02759404915754941,0.13419300077339272,0.2169246585282189,3.4867940876248023,0.7993156671476017,2.6894451810268465,4.939447500927689,0.09260912982527574,0.027397377305500317,0.06471360226531098,0.14382028274066794,0.09260912982527574,0.027397377305500317,0.06471360226531098,0.14382028274066794
header,class_conditional,random,0.01,5,0.0007985249398325572,0.0003774843558097934,0.00036439902503016414,0.0013252876608933748,0.008067518310783893,0.0024776638168717046,0.004033722000354613,0.01160064724094436,0.009505110143376757,0.0021729043627670857,0.005570689525904082,0.011987916666666666,5.1034061250875275e-05,5.963617119209627e-05,-1.2519359918611306e-05,0.0001313963995371814,0.0012424168154393188,0.0007224591653381459,0.00020785188957756496,0.002459325036257154,0.0016835358901097996,0.0005973676279199608,0.0006416111751302245,0.0024870086679110335,5.1034061250875275e-05,5.963617119209627e-05,-1.2519359918611306e-05,0.0001313963995371814,0.0012424168154393188,0.0007224591653381459,0.00020785188957756496,0.002459325036257154,0.0016835358901097996,0.0005973676279199608,0.0006416111751302245,0.0024870086679110335,0.008706585203544202,0.001970636183421401,0.0052026451980927675,0.010662629005773291,14.729318641455768,7.724451173994841,9.045520471069372,29.524393880050997,0.0016325018288589246,0.0005854244301204073,0.0006100793499109026,0.002375885894031926,0.0016325018288589246,0.0005854244301204073,0.0006100793499109026,0.002375885894031926
header,class_conditional,random,0.05,5,0.0059631019109077105,0.0014475925640081743,0.004204354973236916,0.008258567314316068,0.03145031104806105,0.004408332361057417,0.02501773117416472,0.03887845082418958,0.037414021363193044,0.0056102566786545354,0.028789583333333334,0.046429732094496065,0.00038213660989202977,0.00029572242860423977,-8.069116779968466e-06,0.0007628200552723896,0.005727187552002066,0.0009416236025905633,0.004805704376743686,0.007345188247056838,0.006135974183458203,0.0013765764554476236,0.0042879729305555555,0.008315699862993936,0.00038213660989202977,0.00029572242860423977,-8.069116779968466e-06,0.0007628200552723896,0.005727187552002066,0.0009416236025905633,0.004805704376743686,0.007345188247056838,0.006135974183458203,0.0013765764554476236,0.0042879729305555555,0.008315699862993936,0.031450919452285335,0.004442106185606462,0.024162518719035804,0.03817116478018,6.469777911708954,1.0933066385760681,5.622008070820106,8.622534997429208,0.005753837573566173,0.0015051995379255995,0.00416211000817947,0.008323768979773905,0.005753837573566173,0.0015051995379255995,0.00416211000817947,0.008323768979773905
header,class_conditional,random,0.1,5,0.012167657220559501,0.0014116659064337107,0.01056576654702543,0.014391101939341743,0.05763939367784639,0.004582451547961063,0.05189394422006192,0.0626883657212441,0.06314395949932988,0.004671251747976384,0.05588208333333333,0.06989561725772458,0.0007117948368139971,0.00019371683727328464,0.0004674734084831211,0.0010088662380118851,0.009456988262829273,0.0010881767787146042,0.007848745903440518,0.01115398134133545,0.012365591156573019,0.0010059835762188608,0.011333639916666704,0.01414543139277787,0.0007117948368139971,0.00019371683727328464,0.0004674734084831211,0.0010088662380118851,0.009456988262829273,0.0010881767787146042,0.007848745903440518,0.01115398134133545,0.012365591156573019,0.0010059835762188608,0.011333639916666704,0.01414543139277787,0.05097630227877038,0.003355259934387977,0.0453163167863079,0.05550451531838284,5.216187138268095,0.2627506246571787,4.856863466907083,5.638652190591989,0.011653796319759022,0.001056066720031887,0.010673581000189203,0.013603808860939055,0.011653796319759022,0.001056066720031887,0.010673581000189203,0.013603808860939055
imports,class_conditional,important,0.01,5,0.03185052860744076,0.022680188037167683,0.0054211072818657275,0.07159273009301238,0.041919926596440595,0.016454318803370685,0.02445736392685768,0.06401438428127336,0.055983681318633884,0.02010055238662875,0.03194582122002216,0.08194931708902425,-0.0069577038666961185,0.01985991275324785,-0.039967906053092306,0.016741593169409152,0.007212876797488632,0.008631169686552658,-8.265229369142091e-05,0.023660455239425948,0.0024897854433339806,0.002546217063386988,-0.0002788329277138013,0.005511059676783225,-0.0069577038666961185,0.01985991275324785,-0.039967906053092306,0.016741593169409152,0.007212876797488632,0.008631169686552658,-8.265229369142091e-05,0.023660455239425948,0.0024897854433339806,0.002546217063386988,-0.0002788329277138013,0.005511059676783225,0.024133152711193127,0.015592117365694769,0.006198288315167555,0.0481978984119588,2.753820265211545,1.7407763612645932,1.0865770631615084,5.892859070855298,0.009447489310030099,0.020221857163521435,-0.011230533492625927,0.04534691589887008,0.009447489310030099,0.020221857163521435,-0.011230533492625927,0.04534691589887008
imports,class_conditional,important,0.05,5,0.05743653652567734,0.05582224333606437,0.02437160883657353,0.16779866897059076,0.11333069969543305,0.06898555808384621,0.046568780264771285,0.21685278857922727,0.11300589777407166,0.05212320873467095,0.061101068748073674,0.19505670786076781,0.003138455124574424,0.03448442526530958,-0.04277838502577991,0.06171575465221635,0.03782610497371721,0.025158490937645543,0.009896590264829697,0.07864568417046391,0.015016184575742919,0.009008034541980032,0.0025381289478507707,0.03041205563240612,0.003138455124574424,0.03448442526530958,-0.04277838502577991,0.06171575465221635,0.03782610497371721,0.025158490937645543,0.009896590264829697,0.07864568417046391,0.015016184575742919,0.009008034541980032,0.0025381289478507707,0.03041205563240612,0.055569361248394324,0.03695230819393348,0.027258038890177055,0.12848703106057668,2.9343721550951445,1.7671749317401517,1.1624449052987091,6.268734902547251,0.011877729451168495,0.02911646053269887,-0.03130369901981023,0.059403651271453306,0.011877729451168495,0.02911646053269887,-0.03130369901981023,0.059403651271453306
imports,class_conditional,important,0.1,5,0.07005597143141272,0.046955874856533776,0.02927780148937119,0.16035653795486818,0.1631140892432687,0.05101172504377963,0.10262398139663208,0.22523098252873064,0.1356793295841966,0.04925592874464222,0.09193256722860643,0.21132323897300856,0.005456017299048166,0.033154459239748926,-0.04294661883384843,0.058053921519342966,0.06789215593666842,0.039592682008431954,0.031370454711541096,0.1346723703252668,0.02947727916424505,0.01425917358767223,0.008823200029999367,0.05325464825586235,0.005456017299048166,0.033154459239748926,-0.04294661883384843,0.058053921519342966,0.06789215593666842,0.039592682008431954,0.031370454711541096,0.1346723703252668,0.02947727916424505,0.01425917358767223,0.008823200029999367,0.05325464825586235,0.06562335815278389,0.03340161685813465,0.024004840419836707,0.12497307344873777,2.3798954179443683,0.9256070296526671,1.3178336329042275,3.435558643578263,0.024021261865196885,0.024880191642271003,-0.004799273263480619,0.06960489270645909,0.024021261865196885,0.024880191642271003,-0.004799273263480619,0.06960489270645909
imports,class_conditional,random,0.01,5,0.000733287816812288,0.000393149253123134,0.0002400838110758665,0.0014257532281205163,0.0026122594881205644,0.0005560788033624043,0.001761555667228315,0.0033140574017499007,0.004615691778977431,0.0006663209987193982,0.003931633903050807,0.005867451104574129,-0.001148131125041366,0.0011325809269540506,-0.0027428301602917147,0.00016971757255576647,-7.133338998902228e-05,0.0001564514629629845,-0.000253003755389708,0.00020674488338860432,-0.0003243292342941273,0.00021837862729763438,-0.0007201454671267426,-0.0001233199379121197,-0.001148131125041366,0.0011325809269540506,-0.0027428301602917147,0.00016971757255576647,-7.133338998902228e-05,0.0001564514629629845,-0.000253003755389708,0.00020674488338860432,-0.0003243292342941273,0.00021837862729763438,-0.0007201454671267426,-0.0001233199379121197,0.0038824039621651435,0.0006922794224025925,0.0031454205856492534,0.00520136612171099,8.381660068636426,4.444730521755657,3.2061465642239297,16.376089189155742,0.0008238018907472389,0.0009316759480722205,-0.0002930375104678862,0.002022684693164972,0.0008238018907472389,0.0009316759480722205,-0.0002930375104678862,0.002022684693164972
