feature_group,density_bin,density_definition,perturbation_type,strength,n_rows,thresholds_json,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,high_density,class_conditional,important,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",122736.4,1373.0957140709456,120487.0,124539.0,1.0,0.0,1.0,1.0,0.002531323820728606,0.004163385865036874,8.029613213531504e-06,0.01082196566544527,0.002397020461456944,0.004081318302864833,8.029613213531504e-06,0.010537604705767653,0.0,0.0,0.0,0.0,0.00490992172352683,0.008375289780778297,1.666638889351844e-05,0.02161630639489342,0.0,0.0,0.0,0.0,0.04126749000449914,0.02445774294231289,0.014883769006963123,0.07672904055345757,0.030817022040698944,0.0321957032621789,-0.004159774776979347,0.07459778849586919,-0.039864993634556936,0.025289856505383432,-0.07672688861711632,-0.013009631661553353,0.9995861005781352,0.0001554715219511521,0.9993311088477324,0.9997620474635392,0.9990662787449484,0.00060994497552958,0.9984315400171186,0.9998447183625798,0.0005198218331866177,0.0006069299922547735,-0.00025255784989619556,0.0012306749856166865,0.0005198218331866177,0.0006069299922547735,-0.00025255784989619556,0.0012306749856166865
header,high_density,class_conditional,important,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",122736.4,1373.0957140709456,120487.0,124539.0,4.0,0.0,4.0,4.0,0.020487451189076085,0.001402650092269523,0.018466722550980603,0.02251503545074234,0.018957709083661088,0.0007982508951436397,0.01798786184932119,0.019776937344928094,0.0003467817420589079,0.0004511411282106491,6.499679078345506e-05,0.0012365604348838516,0.03878947411987578,0.0019012234963040884,0.03618333333333333,0.04104931584473592,0.0006720061349599495,0.0008692700085608563,0.000126819060904854,0.002386191081223465,0.15762520013887185,0.008347844148456863,0.14732996680325308,0.1726661670378477,0.11207752603959582,0.006890623357254171,0.10686199601661467,0.12565943654718897,-0.15112098727270173,0.008792607862915735,-0.16661114904813368,-0.13947918892312774,0.9995861005781352,0.0001554715219511521,0.9993311088477324,0.9997620474635392,0.9986717542184929,0.0001725422007026138,0.9983777496842192,0.9988624849304599,0.0009143463596423595,0.0002309738465215699,0.0006705130854562924,0.0012844653185161148,0.0009143463596423595,0.0002309738465215699,0.0006705130854562924,0.0012844653185161148
header,high_density,class_conditional,important,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",122736.4,1373.0957140709456,120487.0,124539.0,8.0,0.0,8.0,8.0,0.07359179400925463,0.012295800462923865,0.05506474156011369,0.0892793413397296,0.05718878649273783,0.013935214460373218,0.039639131192576796,0.07503879495949888,0.013990556638739318,0.017862722634605338,0.0,0.04758189680214463,0.11702831486141899,0.0285943513142257,0.0796,0.15393076782053633,0.027632035625738727,0.035566490671091765,0.0,0.09478069667862515,0.3498898637322698,0.034672769415266716,0.3044449871794312,0.38709666697677,0.05084192571742182,0.020425488803192723,0.024583905396351927,0.07299314695806987,-0.33785645611884607,0.037177132325360934,-0.37662310267444665,-0.28768544175703725,0.9995861005781352,0.0001554715219511521,0.9993311088477324,0.9997620474635392,0.9837329805181156,0.008626246619327583,0.9667422159272749,0.9894476140318491,0.015853120060019422,0.008497183345623438,0.010237627706231711,0.03258889292045741,0.015853120060019422,0.008497183345623438,0.010237627706231711,0.03258889292045741
header,high_density,class_conditional,random,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",122736.4,1373.0957140709456,120487.0,124539.0,1.0,0.0,1.0,1.0,0.0007985249398325572,0.0003774843558097934,0.00036439902503016414,0.0013252876608933748,0.0004945802882655758,0.00034323775137867844,6.377810095626528e-05,0.0009659624695878401,0.00013946590523579097,0.0002074805449884335,0.0,0.0005452870434154723,0.0010139853335777737,0.0007090998850912952,0.00013083115281411974,0.0020049665838902686,0.0002760191909662392,0.00041361063819921024,0.0,0.0010861838080909948,0.01833798814338719,0.0043079340454489435,0.011447405068291231,0.023641171753040136,-0.005121003283035487,0.004295886595583172,-0.012579979682970168,0.00019066659008253148,-0.018094055590870163,0.0042853599345484055,-0.02325148102722865,-0.011247791777908921,0.9995861005781352,0.0001554715219510039,0.9993311088477327,0.999762047463539,0.9995350665168843,0.00011052019131947204,0.9993436282076512,0.9996509246896601,5.1034061250875275e-05,5.963617119209627e-05,-1.2519359918611306e-05,0.0001313963995371814,5.1034061250875275e-05,5.963617119209627e-05,-1.2519359918611306e-05,0.0001313963995371814
header,high_density,class_conditional,random,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",122736.4,1373.0957140709456,120487.0,124539.0,4.0,0.0,4.0,4.0,0.0059631019109077105,0.0014475925640081743,0.004204354973236916,0.008258567314316068,0.004595205261036753,0.0013033631036381479,0.003036799717357615,0.0065919974769062225,0.0008662574213578326,0.0003604379210305418,0.0002965478579495137,0.001292164283022886,0.00937405455742404,0.002567390667533908,0.006303228279528674,0.013237499999999996,0.0016967692946152143,0.0007084627640544186,0.0005786119653783964,0.0025410350993057456,0.06985748361476372,0.00595642069329369,0.06238036343796247,0.07628408220914425,-0.008689633018506223,0.012027139737641539,-0.02302086244410937,0.008312141465039474,-0.06863244367388918,0.005934586318799356,-0.07497956280156434,-0.061211153797663176,0.9995861005781352,0.0001554715219510039,0.9993311088477327,0.999762047463539,0.9992039639682432,0.0001888023086233348,0.9989992274082669,0.9994979589553677,0.00038213660989202977,0.00029572242860423977,-8.069116779968466e-06,0.0007628200552723896,0.00038213660989202977,0.00029572242860423977,-8.069116779968466e-06,0.0007628200552723896
header,high_density,class_conditional,random,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",122736.4,1373.0957140709456,120487.0,124539.0,8.0,0.0,8.0,8.0,0.012167657220559501,0.0014116659064337107,0.01056576654702543,0.014391101939341743,0.009653903052522173,0.002579640018081224,0.005626333131375169,0.012448104124858837,0.001575818716564751,0.0021500711296434535,0.00010729526848110387,0.005776141824429192,0.019781541302089412,0.005372108443407007,0.011298333333333334,0.02556457392376794,0.0031170921465579183,0.004287192421941632,0.00020869428256418336,0.01150577810107957,0.11610760230378865,0.012126075826800732,0.10100852245190624,0.13821641290380632,-0.022408357486275704,0.011071392833230751,-0.041243110862281364,-0.007835771592929277,-0.1133800261530737,0.012485066056706566,-0.13616840110995224,-0.09789169633216302,0.9995861005781352,0.0001554715219510039,0.9993311088477327,0.999762047463539,0.9988743057413212,6.929710371515057e-05,0.9987531812255274,0.998948267306749,0.0007117948368139971,0.00019371683727328464,0.0004674734084831211,0.0010088662380118851,0.0007117948368139971,0.00019371683727328464,0.0004674734084831211,0.0010088662380118851
header,low_density,class_conditional,important,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",120009.2,14.99866660740214,120000.0,120039.0,1.0,0.0,1.0,1.0,0.04268806216088302,0.025328218163632538,0.012257822590725387,0.07771640883379569,0.027366579256295646,0.01878279012533016,0.00513311945335611,0.050808487241646466,0.0017898424053126964,0.001604344486029483,0.00011666569445254623,0.004566628611428238,0.054739325289022964,0.037573271866983345,0.010266495558407359,0.10164830586156898,0.0035794275556833392,0.0032086709945434015,0.00023333333333333333,0.009133333333333334,0.05799659855739794,0.029386810720543968,0.021795415018788063,0.08596479866589621,0.041901700054590166,0.042129662411001856,-0.009965647643350681,0.07945586212848868,-0.04123420226132074,0.02273688085802326,-0.06839365508767463,-0.016750819533908834,0.9623145434329207,0.0023418518284132536,0.9587905451575807,0.9653600507770832,0.9511195204066138,0.009089657240068333,0.938774897918368,0.9618058662911173,0.011195023026306683,0.007637509787133517,0.002021507649894061,0.020015647239212675,0.011195023026306683,0.007637509787133517,0.002021507649894061,0.020015647239212675
header,low_density,class_conditional,important,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",120009.2,14.99866660740214,120000.0,120039.0,4.0,0.0,4.0,4.0,0.19575524182145826,0.014967480157809607,0.176425,0.21828738993160557,0.1449058139457749,0.012904396371799498,0.130675,0.16717900015828188,0.004474744066514533,0.0014797593176157412,0.003065670323811428,0.007266606111615737,0.28983270728821187,0.02584412108230888,0.26135,0.3344610923151281,0.008949100722132477,0.002959913550465302,0.0061294513474799295,0.014533333333333334,0.20410437603158188,0.005513031541776655,0.1985051612347396,0.21093089769451304,0.13823952820146174,0.008869309767951333,0.12441257887247482,0.15086035669600942,-0.14057240536675134,0.0006928068360131883,-0.14145490152617646,-0.13944126075822075,0.9623145434329207,0.0023418518284132536,0.9587905451575807,0.9653600507770832,0.9244139074481389,0.004964147190634617,0.9176937569096071,0.9304432453903545,0.03790063598478184,0.0028511749922565687,0.03339179069237763,0.04109678824797358,0.03790063598478184,0.0028511749922565687,0.03339179069237763,0.04109678824797358
header,low_density,class_conditional,important,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",120009.2,14.99866660740214,120000.0,120039.0,8.0,0.0,8.0,8.0,0.24798463926373832,0.023381229776232856,0.21362321980650162,0.2764634806883047,0.14786641048306542,0.03487835216774391,0.09462939044206492,0.20168998591678403,0.04863212252698138,0.04536495170691467,0.010499912500729161,0.13606933044456482,0.2957526495669517,0.06976266061778591,0.18926351227479543,0.40337661038982686,0.09725979329702673,0.09072880751894159,0.021,0.2721318578761416,0.2775502354482328,0.010125114110822505,0.26165769150875884,0.287503373732461,0.06841877011446271,0.030622605799143866,0.021933518954590087,0.11179157679496048,-0.24283364898212928,0.01626871484253189,-0.25946230034428786,-0.2189056104678441,0.9623145434329207,0.0023418518284132536,0.9587905451575807,0.9653600507770832,0.8538522935476255,0.028575856064698976,0.8076212563590576,0.8835868934128874,0.10846224988529515,0.02892980650415653,0.07520365174469323,0.1553708039270385,0.10846224988529515,0.02892980650415653,0.07520365174469323,0.1553708039270385
header,low_density,class_conditional,random,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",120009.2,14.99866660740214,120000.0,120039.0,1.0,0.0,1.0,1.0,0.009505110143376757,0.0021729043627670857,0.005570689525904082,0.011987916666666666,0.0036769964671494308,0.0009915738034346553,0.0019314556102599991,0.0048020433163056975,0.00234213511260442,0.0008396236842980623,0.0013416472979614956,0.003813749999999999,0.007354235462742288,0.0019826929341499777,0.0038641022649622504,0.009604006599890002,0.004684093202994709,0.001679434651481282,0.0026824677704120727,0.007627499999999998,0.017866079380296,0.004782264858218646,0.01024853426743072,0.024792214737396002,0.001385152134487582,0.002485788816917822,-0.001654997996518731,0.005485960702248835,-0.013856680838781565,0.0040410608222619885,-0.01950862194204505,-0.008027041505947439,0.9623145434329207,0.0023418518284132584,0.9587905451575806,0.9653600507770831,0.9606310075428108,0.002892390049659834,0.9563035364896695,0.9647184396019529,0.0016835358901097996,0.0005973676279199608,0.0006416111751302245,0.0024870086679110335,0.0016835358901097996,0.0005973676279199608,0.0006416111751302245,0.0024870086679110335
