feature_group,density_bin,perturbation_type,strength,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,high_density,important,0.01,5,120022.2,40.40989977715857,120001.0,120103.0,1.0,0.0,1.0,1.0,0.002141645069718167,0.00331850730739817,0.0,0.008716594028383097,0.0015666527223606465,0.0029599119099552717,0.0,0.007483270972741894,6.66661111157407e-06,1.333322222314814e-05,0.0,3.333305555787035e-05,0.0054375684193472395,0.01024542107418443,0.0,0.025916305916305917,9.146411176914457e-06,1.8292822353828914e-05,0.0,4.573205588457229e-05,0.029345120050848418,0.01100511729577121,0.016896909913498816,0.04623210078016369,0.015072263296445277,0.020067549964838706,-0.00691833711307514,0.04254756334146523,-0.027740473537818666,0.011900740852466018,-0.04623210078016369,-0.014889030547578504,0.9987755196654515,0.00019911629308898773,0.9985210430142397,0.9990305482367223,0.9967367032676322,0.0021789044951311437,0.9939922671257154,0.9994443507253503,0.002038816397819243,0.0021406003636692335,-0.0008753421702244468,0.004528775888524295,0.002038816397819243,0.0021406003636692335,-0.0008753421702244468,0.004528775888524295
header,high_density,important,0.05,5,120022.2,40.40989977715857,120001.0,120103.0,4.0,0.0,4.0,4.0,0.01398883540687255,0.0021916944802666087,0.011224906459112841,0.017399855001208324,0.009248107938083084,0.0008807300454372589,0.007666602778310181,0.010307819121920352,0.001081269291010108,0.0005919327576089264,0.0006749831254218645,0.0022563965929244065,0.03269901992593351,0.0025671661897627845,0.028277239895497158,0.03544231319782422,0.0015119251134877764,0.0008410600257901092,0.0009441329712214283,0.0031817594777687765,0.11547762128456977,0.0054591273770658606,0.10886792074071788,0.12547463526708777,0.04711957310031497,0.008009958133618347,0.04016857849913396,0.06077564158780901,-0.10953877656203179,0.00512707017510909,-0.11826833596956948,-0.10221291127229809,0.9987755196654515,0.00019911629308898773,0.9985210430142397,0.9990305482367223,0.9972763364077947,0.00030671386907456304,0.9968177721334947,0.9976785753523042,0.0014991832576566999,0.0004039613156144317,0.0008424676619355198,0.0021085921455044065,0.0014991832576566999,0.0004039613156144317,0.0008424676619355198,0.0021085921455044065
header,high_density,important,0.1,5,120022.2,40.40989977715857,120001.0,120103.0,8.0,0.0,8.0,8.0,0.06730957816276088,0.013372679311029154,0.04759047690474405,0.08970758577011859,0.03980399021505025,0.009915182991001406,0.02821643152973725,0.05393288389263423,0.01969688763977948,0.020665384306686387,0.00044166298614178217,0.05617453187890101,0.14077562320479514,0.034380344656164394,0.10407253726755801,0.18678210678210677,0.027265589328157553,0.028410520357598994,0.0006209651908003421,0.07706994717947545,0.32972139351485497,0.03746045569150961,0.28206634480922516,0.3730222066026027,-0.08839400763519284,0.031092154120550382,-0.13210748035614958,-0.04975643523884305,-0.3186299735879589,0.03948200703653639,-0.3625285307050132,-0.26788013731410076,0.9987755196654515,0.00019911629308898773,0.9985210430142397,0.9990305482367223,0.9776168594589467,0.008065573012848439,0.9621232007986145,0.9850763663310005,0.021158660206504587,0.008121110816153547,0.01395418190572184,0.03680316348038459,0.021158660206504587,0.008121110816153547,0.01395418190572184,0.03680316348038459
header,high_density,random,0.01,5,120022.2,40.40989977715857,120001.0,120103.0,1.0,0.0,1.0,1.0,0.0010349941725444757,0.000486130248342246,0.0005441621319822334,0.0019141903199753544,0.00038659480389899406,0.00029148232030840716,3.583303472471063e-05,0.0008788290051039524,0.0003400535074977649,0.00029038326978055354,1.2499687507812304e-05,0.0007258272847726269,0.0013638516638095973,0.0010041256491300078,0.0001240981240981241,0.0030217578013169194,0.00047332860019767294,0.0004025551217387295,1.7278319165111616e-05,0.0009958155168865617,0.020980415815535492,0.005300699980559727,0.013051692587207054,0.029219539743700125,-0.011925295620203424,0.004745451268655943,-0.020359514736411503,-0.006976514643492529,-0.020644238707677665,0.005213107661674516,-0.028601644402954145,-0.012737687884625034,0.9987755196654515,0.0001991162930889829,0.9985210430142397,0.9990305482367221,0.9986288918388077,0.00024471718967828375,0.9982359272062548,0.9989010879421649,0.0001466278266436527,0.00013995253695639316,-8.10887992069298e-06,0.00033915767997860227,0.0001466278266436527,0.00013995253695639316,-8.10887992069298e-06,0.00033915767997860227
header,high_density,random,0.05,5,120022.2,40.40989977715857,120001.0,120103.0,4.0,0.0,4.0,4.0,0.00601964356427927,0.001202028862878776,0.004544886377840554,0.007784101799151673,0.00343877147690141,0.0009617623250407984,0.002391606876494754,0.004718294014216548,0.0013331360894231698,0.00036393534990527865,0.0008853945318033716,0.0017795388448622114,0.012225553007557904,0.0035866172207587362,0.008389359836305173,0.01740279698785923,0.0018553589128998738,0.0004976165251329606,0.001238446027065145,0.0024598567051397242,0.07523381710481632,0.008105364939049696,0.06516995282649199,0.08530170609515042,-0.03468139578090314,0.011264937702892438,-0.049768732004924265,-0.023372369321341187,-0.07385987335480507,0.008011409042721084,-0.08352035081840756,-0.06396522935265633,0.9987755196654515,0.0001991162930889829,0.9985210430142397,0.9990305482367221,0.9979941019485542,0.00032811251795496346,0.9973880286953923,0.9983287761731031,0.0007814177168972503,0.00022084929908095668,0.0005015416907257986,0.0011330143188475084,0.0007814177168972503,0.00022084929908095668,0.0005015416907257986,0.0011330143188475084
header,high_density,random,0.1,5,120022.2,40.40989977715857,120001.0,120103.0,8.0,0.0,8.0,8.0,0.012962792489851901,0.0021624280887477037,0.009848920443655575,0.015168370790730235,0.007254945124436643,0.0022718432818249713,0.003717885684285964,0.010025582693765989,0.0028418421105395517,0.002705536911293058,0.0010612234694132648,0.00811159907000775,0.025551919379579152,0.007681313175837527,0.013712924542800061,0.03516807950891552,0.003935947154141235,0.003700873005912617,0.0014843868380870235,0.011128895799510667,0.12931608012979534,0.01742219961869975,0.10884135148426818,0.16150278827762207,-0.06599759499209143,0.01838429337520925,-0.09890257748487268,-0.042390255690077316,-0.1261824835635047,0.017788440999362113,-0.1590394622534273,-0.10516996338926685,0.9987755196654515,0.0001991162930889829,0.9985210430142397,0.9990305482367221,0.9976843040120167,0.00031214782120268173,0.9971967069977168,0.9980204201500966,0.001091215653434726,0.00017892955872197562,0.0008102140920735635,0.0013243360165227924,0.001091215653434726,0.00017892955872197562,0.0008102140920735635,0.0013243360165227924
header,low_density,important,0.01,5,120000.8,0.4,120000.0,120001.0,1.0,0.0,1.0,1.0,0.03983302478034906,0.02282258325369899,0.014033333333333333,0.07330772243564637,0.02245148673761052,0.015480410782015138,0.004208298264181132,0.0421913150723744,0.002316653652886226,0.0018504624504234028,0.00019999833334722212,0.004866626111449071,0.0557166283641604,0.038378148320778044,0.010500051980455349,0.10479364159456886,0.0038665597377054452,0.0030851366769476087,0.0003353313492895167,0.008121714460545713,0.052798102736090056,0.023834706079406538,0.023614854836923375,0.08177654598820709,0.032906302353114515,0.03742584956538677,-0.013623789046142505,0.06552428187076863,-0.03573787331664144,0.01632305959227029,-0.05604093883300117,-0.018120262026014532,0.9611382450095997,0.001735174900570229,0.9584734035996069,0.9627914147789768,0.9502893817992664,0.008659073103413517,0.9400173500045452,0.9609561922231774,0.010848863210333359,0.007526492907201176,0.0013672496389987021,0.01845605359506164,0.010848863210333359,0.007526492907201176,0.0013672496389987021,0.01845605359506164
header,low_density,important,0.05,5,120000.8,0.4,120000.0,120001.0,4.0,0.0,4.0,4.0,0.17768880816270977,0.01390925838882169,0.1585820118165682,0.19802334980541828,0.11748421110379637,0.011713116481804725,0.10662411146573779,0.1382488479262673,0.007753285472621061,0.0031206548756450635,0.003458304514129049,0.011266572778560179,0.2922238052896883,0.028827689581512324,0.2651443201057109,0.3433787308026659,0.012959835790833651,0.005210042663051922,0.005789055198292577,0.018890332676642776,0.1881099511109901,0.004898385274269986,0.1835280731549659,0.19552760197887586,0.10188880902181556,0.008862841734940164,0.08952273181539105,0.11668002985156703,-0.12626652126607432,0.0014850467709640778,-0.12788115444843426,-0.12382243567156764,0.9611382450095997,0.001735174900570229,0.9584734035996069,0.9627914147789768,0.9217207584496044,0.0038600539644047705,0.9148995458702672,0.9262698298396164,0.03941748655999529,0.00241429063019472,0.036053612022559745,0.04357385772933964,0.03941748655999529,0.00241429063019472,0.036053612022559745,0.04357385772933964
header,low_density,important,0.1,5,120000.8,0.4,120000.0,120001.0,8.0,0.0,8.0,8.0,0.22935354337324965,0.026062435705765812,0.19201506654111217,0.27279166666666665,0.11546582160426441,0.028202001375559435,0.07029166666666667,0.15515704035799702,0.05780977841851318,0.051281925197313026,0.013666552778726844,0.1561,0.287006252525667,0.06934342363341957,0.17598948444574267,0.3844517860830064,0.09650421476634219,0.08532050871480279,0.022914308868116975,0.2599103661666967,0.26937071307697963,0.013814695004836288,0.2505330755890594,0.28579816134922015,0.013318459756905234,0.0327145130917957,-0.03764998485975787,0.056488452964315886,-0.2367945884267678,0.018535187877273308,-0.25768929120403355,-0.2104825802087977,0.9611382450095997,0.001735174900570229,0.9584734035996069,0.9627914147789768,0.8562053259954732,0.025182754350026492,0.8188432975312663,0.8854586796793187,0.10493291901412649,0.025820103996159215,0.07301472392028818,0.1435866010961585,0.10493291901412649,0.025820103996159215,0.07301472392028818,0.1435866010961585
header,low_density,random,0.01,5,120000.8,0.4,120000.0,120001.0,1.0,0.0,1.0,1.0,0.009370270430385302,0.0021550947344653603,0.005553703719135673,0.012056149532087232,0.003014396421696486,0.0007899644100694706,0.0015854034549712085,0.003942883809301589,0.0027103989779251837,0.0009188376785900953,0.00150540412163232,0.00428829759752002,0.007497912776710363,0.0019589021257630417,0.003937782009355466,0.009769770803221143,0.00453333905022784,0.0015418928399252574,0.002519982702582058,0.007190464879064373,0.018316451550574923,0.004949391524252411,0.010651874286517477,0.025847505520642626,-0.0020158330836445187,0.0024318768785311536,-0.006263651431381953,0.0009498876806746752,-0.014261933040122618,0.00422761491597596,-0.020565722407949856,-0.008317386525825346,0.9611382450095997,0.0017351749005701338,0.9584734035996071,0.9627914147789769,0.9594849809986419,0.0022076572268013017,0.9560954729004211,0.9622068581025978,0.0016532640109578867,0.0005870692462790509,0.0005845566763789944,0.002377930699186054,0.0016532640109578867,0.0005870692462790509,0.0005845566763789944,0.002377930699186054
header,low_density,random,0.05,5,120000.8,0.4,120000.0,120001.0,4.0,0.0,4.0,4.0,0.0360975225699508,0.005180894919324711,0.02802351647069608,0.04402958333333333,0.01434824856806749,0.0036590898871285403,0.009886584278464346,0.020882083333333336,0.007577448767093606,0.0017639219586954695,0.005888284264297797,0.010971575236873024,0.035724851383789724,0.009254595914232952,0.024495189329809635,0.05228254292808111,0.012673210427862375,0.0029590272488514207,0.009826718215447946,0.018365951985715678,0.06362864466869375,0.004487190082809813,0.0567441982979335,0.06948184985857583,0.003908930761642443,0.008124096452756099,-0.004951314294235359,0.016607681531388974,-0.04922398235251331,0.0028097504885751926,-0.05396125541061434,-0.04574459744048,0.9611382450095997,0.0017351749005701338,0.9584734035996071,0.9627914147789769,0.9550618038498648,0.0016380714597439055,0.9526080593891694,0.9573885305970823,0.0060764411597349684,0.0014610311867473632,0.004037936847799001,0.008472603834586239,0.0060764411597349684,0.0014610311867473632,0.004037936847799001,0.008472603834586239
header,low_density,random,0.1,5,120000.8,0.4,120000.0,120001.0,8.0,0.0,8.0,8.0,0.061928927479771,0.005032122607535419,0.05340788826759777,0.06705069124423964,0.024368327909767416,0.004637603787825111,0.0185875,0.03240847992933392,0.01594791480834882,0.006666162641388465,0.009144507129107256,0.028624583333333332,0.06059441833919993,0.011420129424796052,0.0465375868472115,0.08049530156890342,0.02664544870857959,0.011060341382196592,0.015307517402039419,0.04766064020202301,0.10657187033119964,0.008456486147416172,0.09819577331436789,0.12076541564898273,-0.0021968964300214246,0.015239559704975165,-0.028697408936281095,0.01651434654619909,-0.08658736233342641,0.009468462833079323,-0.10325096650417667,-0.07589854196053969,0.9611382450095997,0.0017351749005701338,0.9584734035996071,0.9627914147789769,0.9486162968189301,0.0015354790991463161,0.9459069898846355,0.9502074790195689,0.012521948190669522,0.0010907050765767599,0.010847871715600926,0.014213180948779474,0.012521948190669522,0.0010907050765767599,0.010847871715600926,0.014213180948779474
header,mid_density,important,0.01,5,239977.0,40.51666323872192,239896.0,239999.0,1.0,0.0,1.0,1.0,0.030403672843107625,0.022799123337682352,0.008520868836953487,0.07069225576879808,0.021125627189753582,0.015649947242751955,0.0036125150521460507,0.04505037541979517,0.0010358586635390735,0.0012652221435659316,0.00012500208336805614,0.003516695972466437,0.032252950761335865,0.023947141184631697,0.005434510079229766,0.06885045467281388,0.0030174767193775747,0.0036552792427592103,0.00036303790115688075,0.010173332369036427,0.06442335830051889,0.03817173885096803,0.01759719184359148,0.098530906153283,0.05165594498489649,0.044487200764178024,-0.0034105738416763563,0.09684637896928106,-0.05413809216813352,0.033954359892527874,-0.09333615704588596,-0.014478057244422488,0.974006747571714,0.0013984104802620394,0.972187892746401,0.9756707741591605,0.959843672818782,0.009901076258942564,0.9501282483602143,0.9718870736875252,0.014163074752931926,0.011258680899871944,0.0005569643717976414,0.025542525798946225,0.014163074752931926,0.011258680899871944,0.0005569643717976414,0.025542525798946225
