seed,feature_group,density_bin,n_samples,n_benign,n_malware,benign_to_malware_ratio,n_packed_malware,packed_ratio,week_distribution_json,density_definition,thresholds_json
13,header,high_density,120487,60000,60487,0.991948683188123,545,0.009010200538958785,"{""2024-09-22_2024-09-28"": 11458, ""2024-09-29_2024-10-05"": 15362, ""2024-10-06_2024-10-12"": 11087, ""2024-10-13_2024-10-19"": 11601, ""2024-10-20_2024-10-26"": 10596, ""2024-10-27_2024-11-02"": 7740, ""2024-11-03_2024-11-09"": 8364, ""2024-11-10_2024-11-16"": 8314, ""2024-11-17_2024-11-23"": 9506, ""2024-11-24_2024-11-30"": 9470, ""2024-12-01_2024-12-07"": 8382, ""2024-12-08_2024-12-14"": 8607}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}"
13,header,mid_density,239508,119999,119509,1.0041001096151754,9790,0.08191851659707637,"{""2024-09-22_2024-09-28"": 20548, ""2024-09-29_2024-10-05"": 17294, ""2024-10-06_2024-10-12"": 19210, ""2024-10-13_2024-10-19"": 18557, ""2024-10-20_2024-10-26"": 19753, ""2024-10-27_2024-11-02"": 21168, ""2024-11-03_2024-11-09"": 20919, ""2024-11-10_2024-11-16"": 21468, ""2024-11-17_2024-11-23"": 20475, ""2024-11-24_2024-11-30"": 20407, ""2024-12-01_2024-12-07"": 18928, ""2024-12-08_2024-12-14"": 20781}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}"
13,header,low_density,120005,60001,60004,0.9999500033331111,8593,0.14320711952536497,"{""2024-09-22_2024-09-28"": 7994, ""2024-09-29_2024-10-05"": 7344, ""2024-10-06_2024-10-12"": 9703, ""2024-10-13_2024-10-19"": 9842, ""2024-10-20_2024-10-26"": 9651, ""2024-10-27_2024-11-02"": 11092, ""2024-11-03_2024-11-09"": 10717, ""2024-11-10_2024-11-16"": 10218, ""2024-11-17_2024-11-23"": 10019, ""2024-11-24_2024-11-30"": 10123, ""2024-12-01_2024-12-07"": 12690, ""2024-12-08_2024-12-14"": 10612}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}"
13,imports,high_density,171815,95386,76429,1.248034123173141,1910,0.02499051407188371,"{""2024-09-22_2024-09-28"": 17243, ""2024-09-29_2024-10-05"": 17230, ""2024-10-06_2024-10-12"": 15763, ""2024-10-13_2024-10-19"": 14977, ""2024-10-20_2024-10-26"": 15192, ""2024-10-27_2024-11-02"": 13481, ""2024-11-03_2024-11-09"": 12408, ""2024-11-10_2024-11-16"": 13779, ""2024-11-17_2024-11-23"": 14728, ""2024-11-24_2024-11-30"": 14175, ""2024-12-01_2024-12-07"": 11444, ""2024-12-08_2024-12-14"": 11395}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.4215264916419983, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.14120173454284668, ""low_quantile"": 0.25}"
13,imports,mid_density,188184,84613,103571,0.8169564839578647,13484,0.13019088354848365,"{""2024-09-22_2024-09-28"": 14776, ""2024-09-29_2024-10-05"": 15506, ""2024-10-06_2024-10-12"": 13890, ""2024-10-13_2024-10-19"": 15289, ""2024-10-20_2024-10-26"": 15089, ""2024-10-27_2024-11-02"": 15589, ""2024-11-03_2024-11-09"": 16746, ""2024-11-10_2024-11-16"": 15616, ""2024-11-17_2024-11-23"": 14882, ""2024-11-24_2024-11-30"": 15817, ""2024-12-01_2024-12-07"": 17314, ""2024-12-08_2024-12-14"": 17670}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.4215264916419983, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.14120173454284668, ""low_quantile"": 0.25}"
13,imports,low_density,120001,60001,60000,1.0000166666666668,3534,0.0589,"{""2024-09-22_2024-09-28"": 7981, ""2024-09-29_2024-10-05"": 7264, ""2024-10-06_2024-10-12"": 10347, ""2024-10-13_2024-10-19"": 9734, ""2024-10-20_2024-10-26"": 9719, ""2024-10-27_2024-11-02"": 10930, ""2024-11-03_2024-11-09"": 10846, ""2024-11-10_2024-11-16"": 10605, ""2024-11-17_2024-11-23"": 10390, ""2024-11-24_2024-11-30"": 10008, ""2024-12-01_2024-12-07"": 11242, ""2024-12-08_2024-12-14"": 10935}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.4215264916419983, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.14120173454284668, ""low_quantile"": 0.25}"
42,header,high_density,124539,60001,64538,0.9297003315875918,713,0.011047754811119031,"{""2024-09-22_2024-09-28"": 11759, ""2024-09-29_2024-10-05"": 15951, ""2024-10-06_2024-10-12"": 12158, ""2024-10-13_2024-10-19"": 11715, ""2024-10-20_2024-10-26"": 10847, ""2024-10-27_2024-11-02"": 8790, ""2024-11-03_2024-11-09"": 8669, ""2024-11-10_2024-11-16"": 8557, ""2024-11-17_2024-11-23"": 9540, ""2024-11-24_2024-11-30"": 9414, ""2024-12-01_2024-12-07"": 8388, ""2024-12-08_2024-12-14"": 8751}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0001105964183807373, ""label_0_q_low"": -0.01350836269557476, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029636161401867867, ""low_quantile"": 0.25}"
42,header,mid_density,235461,119999,115462,1.0392943132805599,8723,0.07554866536176405,"{""2024-09-22_2024-09-28"": 20418, ""2024-09-29_2024-10-05"": 16815, ""2024-10-06_2024-10-12"": 18064, ""2024-10-13_2024-10-19"": 18363, ""2024-10-20_2024-10-26"": 19374, ""2024-10-27_2024-11-02"": 20074, ""2024-11-03_2024-11-09"": 20608, ""2024-11-10_2024-11-16"": 21077, ""2024-11-17_2024-11-23"": 20503, ""2024-11-24_2024-11-30"": 20604, ""2024-12-01_2024-12-07"": 18771, ""2024-12-08_2024-12-14"": 20790}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0001105964183807373, ""label_0_q_low"": -0.01350836269557476, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029636161401867867, ""low_quantile"": 0.25}"
42,header,low_density,120000,60000,60000,1.0,9520,0.15866666666666668,"{""2024-09-22_2024-09-28"": 7823, ""2024-09-29_2024-10-05"": 7234, ""2024-10-06_2024-10-12"": 9778, ""2024-10-13_2024-10-19"": 9922, ""2024-10-20_2024-10-26"": 9779, ""2024-10-27_2024-11-02"": 11136, ""2024-11-03_2024-11-09"": 10723, ""2024-11-10_2024-11-16"": 10366, ""2024-11-17_2024-11-23"": 9957, ""2024-11-24_2024-11-30"": 9982, ""2024-12-01_2024-12-07"": 12841, ""2024-12-08_2024-12-14"": 10459}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0001105964183807373, ""label_0_q_low"": -0.01350836269557476, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029636161401867867, ""low_quantile"": 0.25}"
42,imports,high_density,175353,95459,79894,1.1948206373444814,9621,0.12042205922847773,"{""2024-09-22_2024-09-28"": 17813, ""2024-09-29_2024-10-05"": 17490, ""2024-10-06_2024-10-12"": 15610, ""2024-10-13_2024-10-19"": 14395, ""2024-10-20_2024-10-26"": 14755, ""2024-10-27_2024-11-02"": 14049, ""2024-11-03_2024-11-09"": 14083, ""2024-11-10_2024-11-16"": 14297, ""2024-11-17_2024-11-23"": 14744, ""2024-11-24_2024-11-30"": 14202, ""2024-12-01_2024-12-07"": 11975, ""2024-12-08_2024-12-14"": 11940}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -1.1920928955078125e-07, ""label_0_q_low"": -0.4243742525577545, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.140329048037529, ""low_quantile"": 0.25}"
