seed,feature_group,density_bin,density_definition,thresholds_json,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",important,0.01,0,120487,1,0.9994898898385879,0.9997424476884841,-0.00025255784989619556,-0.00025255784989619556,0.0006971706491156722,0.0005311776374214645,0.0,0.0010666666666666667,0.0,0.015532234795294675,-0.0036710652760400986,-0.013009631661553353
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",important,0.01,0,239508,1,0.9755852735094185,0.975660465683658,-7.519217423956892e-05,-7.519217423956892e-05,0.00951116455400237,0.0029769360522404263,0.0017661205471215993,0.005941716180968175,0.003539482382080011,0.02021433802247986,-0.006869721184750294,-0.016920431659404142
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",important,0.01,0,120005,1,0.9629920602860961,0.960970552636202,0.002021507649894061,0.002021507649894061,0.012257822590725387,0.00513311945335611,0.0019249197950085414,0.010266495558407359,0.003849743350443304,0.022427202043497532,-0.009965647643350681,-0.017923570460896775
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,1,120487,1,0.9994898898385879,0.9994849857545147,4.904084073165116e-06,4.904084073165116e-06,9.129615643181423e-05,4.1498252923551916e-05,0.0,8.333333333333333e-05,0.0,0.0005954974197967221,-7.094555152561403e-05,-0.0005280141465568107
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,1,239508,1,0.9755852735094185,0.9763584563451818,-0.0007731828357633308,-0.0007731828357633308,0.0028600297276082636,5.427793643636121e-05,0.0016951417071663576,0.00010833423611863433,0.003397233681145353,0.008705336336184633,-0.0039010510692096666,-0.006556776399247569
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,1,120005,1,0.9629920602860961,0.9631951623884729,-0.0002031021023768398,-0.0002031021023768398,0.0028748802133244447,0.00046664722303237365,0.0013416107662180743,0.0009333177780370327,0.0026831544563695755,0.005076693464929314,-0.001972774886112762,-0.002519208573031699
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,2,120487,1,0.9994898898385879,0.9992726326869134,0.00021725715167453252,0.00021725715167453252,0.00016599301169420766,0.00016599301169420766,0.0,0.0003333333333333333,0.0,0.05462613512562605,-0.046269915773515004,-0.05460734231970282
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,2,239508,1,0.9755852735094185,0.9752372434382717,0.00034803007114680984,0.00034803007114680984,0.009532040683400972,0.0005720059455216527,0.007419376388262605,0.0011416761806348386,0.014869173032993331,0.031785787630738145,-0.01587441592738436,-0.030453434098389624
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,2,120005,1,0.9629920602860961,0.9625826257949808,0.0004094344911153014,0.0004094344911153014,0.005658097579267531,0.0012249489604599809,0.001899920836631807,0.002449959167347211,0.0037997466835544298,0.022597661218817035,-0.006179946224698212,-0.020750185441708067
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,3,120487,1,0.9994898898385879,0.9998021889000943,-0.00031229906150642694,-0.00031229906150642694,0.007004905093495564,0.001493937105247869,0.004722501182700209,0.003,0.009406980012234034,0.017610311989595326,0.011098164058889415,-0.016413654889536975
