model,feature_group,perturbation_type,strength,pooled_auc_drop_density,class_cond_auc_drop_density,pooled_flip_density,class_cond_flip_density,class_cond_low_m2b,class_cond_high_m2b,class_cond_low_b2m,class_cond_high_b2m
LR,header,important,0.01,0.0912252628719326,0.09090559016953123,0.18601676432185593,0.22067869742327878,0.0,0.0,0.4470133333333333,0.06531271073259891
LR,header,important,0.05,0.1572099011722121,0.16202148137620925,0.15374155688805372,0.2109943774403459,0.261359437574303,0.22554943177059644,0.30899333333333334,0.03773333333333333
LR,header,important,0.1,0.19011033255667317,0.19086454770744257,-0.05443230779456996,0.07288020738640784,0.6595580482872793,0.7680186969331635,0.12363666666666666,0.026989999999999997
LR,header,random,0.01,0.003705069860490272,0.0037257606059809788,0.03304833461496186,0.03735593098650225,0.06394812273479773,0.053517288064826384,0.053497833333333335,0.02721990993483442
LR,header,random,0.05,0.009506711707781702,0.010029239163409448,0.053499587751615785,0.06843638815238572,0.20571716042243038,0.22455212810874223,0.18964566666666666,0.14125669974944863
LR,header,random,0.1,0.013916170141988846,0.01574472466502036,0.028843806963584507,0.05782851027730253,0.32237081240625304,0.35564263591965767,0.17568716666666667,0.1560411292395127
LR,imports,important,0.01,-0.013628465514762956,-0.02766248205908408,0.0378954463888068,0.06770230010260746,0.13307461362056372,0.10310587967371594,0.03561636494947306,0.0008126761932536211
LR,imports,important,0.05,0.03737112128120936,0.0025073883374784555,0.06975509308128304,0.13410232932237015,0.30136842863557634,0.1796772271991803,0.05779292500680544,5.8174610014651384e-05
LR,imports,important,0.1,0.04124968629594772,0.0014004636488206047,0.07829930491206678,0.14973503094763493,0.33746067992130413,0.23930824422118993,0.09182258651244703,0.001346431164895898
LR,imports,random,0.01,0.0018429285060383028,0.0031693744815369136,0.020378229054948828,0.022908664174422205,0.018208983734372634,0.0033876294402440444,0.014754417040271552,0.004979074904030031
LR,imports,random,0.05,0.0035618281076865987,0.0035397098845726385,0.04757172846154967,0.05468983819120217,0.043790022907193984,0.014129294938503737,0.04150642037354933,0.01246599202130333
LR,imports,random,0.1,-0.0022539949243518586,-0.004395900768401247,0.0590726888532321,0.07278329953832423,0.08341098887299364,0.03664135775518609,0.04870682299461675,0.015392612531064562
LightGBM,header,important,0.01,0.00833165128083262,0.00829077486799834,0.03043308905759119,0.033499470678892314,0.0014029950812055859,0.0,0.04815255501297201,0.00020666611112037022
LightGBM,header,important,0.05,0.07126941146521173,0.061427954800856964,0.17608204458018406,0.179223843960755,0.1279802206788266,0.04038953840823106,0.1991107189324622,0.01441321677972034
LightGBM,header,important,0.1,0.10972440784313597,0.11365619578849,0.23980644546017676,0.2732605800291713,0.03746849005552859,0.005994063794380923,0.5023400847763648,0.09526884646367004
LightGBM,header,random,0.01,0.0022407519875582717,0.0021758810793648022,0.016691288870509413,0.01725622169494636,0.010267544614818483,0.001276694077028783,0.014852320964095042,0.001486813864213374
LightGBM,header,random,0.05,0.007983916609288553,0.007807074456501995,0.05758690462023928,0.05961460510993788,0.026974993203815766,0.003572118845320782,0.07013014830586158,0.013699529377288156
LightGBM,header,random,0.1,0.0173440637870729,0.017380074349568914,0.08701440183484581,0.09037185463514037,0.04162737630239206,0.007234423939860747,0.12498475914012544,0.03695749807503208
LightGBM,imports,important,0.01,0.02956713889212903,0.029548203958314877,0.07225781247345496,0.10820077856276522,0.18779376617062934,0.046872034530004617,0.038342811675360966,0.01966726058429185
LightGBM,imports,important,0.05,0.045226920319525424,0.0413930534151782,0.08226129708313706,0.1391025793371095,0.30855069954445535,0.1481849649766741,0.0733558024588479,0.0376781337478258
LightGBM,imports,important,0.1,0.04296218435802113,0.04869985596013502,0.09769492214659463,0.15762701358756442,0.3404828638274375,0.22036682934758622,0.12519203202168852,0.04113030052080515
LightGBM,imports,random,0.01,0.001423306277864188,0.0020670443755132,0.006401063829197064,0.007224166759608716,0.007942167181447395,0.0006081673490591617,0.004082130703377166,0.002946509145685654
LightGBM,imports,random,0.05,0.004872441385054051,0.006147830577576302,0.01855776319958334,0.021183356889211306,0.021386607298979704,0.002874734981443175,0.012109405182135853,0.006952258128979556
LightGBM,imports,random,0.1,0.007154291585804276,0.008045021731377928,0.03062588153065257,0.037715108429426304,0.044785957666112264,0.004168710355421645,0.01681448648911407,0.009043568672438006
RF,header,important,0.01,0.008810046812514117,0.010675201193120066,0.03769137971063089,0.040156738340154416,0.0035794275556833392,0.0,0.054739325289022964,0.00490992172352683
RF,header,important,0.05,0.037918303302338585,0.03698628962513948,0.1636999727558372,0.17526779063238215,0.008949100722132477,0.0006720061349599495,0.28983270728821187,0.03878947411987578
RF,header,important,0.1,0.0837742588076219,0.09260912982527574,0.16204396521048875,0.17439284525448367,0.09725979329702673,0.027632035625738727,0.2957526495669517,0.11702831486141899
RF,header,random,0.01,0.001506636184314234,0.0016325018288589246,0.008335276257840826,0.008706585203544202,0.004684093202994709,0.0002760191909662392,0.007354235462742288,0.0010139853335777737
RF,header,random,0.05,0.005295023442837719,0.005753837573566173,0.03007787900567154,0.031450919452285335,0.012600408877063606,0.0016967692946152143,0.03592114842530402,0.00937405455742404
RF,header,random,0.1,0.011430732537234796,0.011653796319759022,0.048966134989919106,0.05097630227877038,0.025750396356760567,0.0031170921465579183,0.06056383739993223,0.019781541302089412
RF,imports,important,0.01,0.009983742746178748,0.009447489310030099,0.010282090468823914,0.024133152711193127,0.0969321953681743,0.028341121926086222,0.0017533099448342527,0.021052212378037193
RF,imports,important,0.05,0.016800603189551365,0.011877729451168495,0.012950389593097276,0.055569361248394324,0.19821677772389634,0.08959420655954736,0.006749908557079604,0.015652388545418474
RF,imports,important,0.1,0.031888466190773034,0.024021261865196885,0.010585296211000069,0.06562335815278389,0.22592103290283147,0.12182017958495461,0.014103141225424021,0.014128695913500125
RF,imports,random,0.01,0.0009950607188378645,0.0008238018907472389,0.0031038282563417485,0.0038824039621651435,0.004941270778747354,0.000653103261617401,0.0007716592584568035,0.0002981104744246233
RF,imports,random,0.05,0.002905937396964542,0.0013167198373520452,0.007040891980383675,0.009988424042274596,0.018774082852097022,0.0063796854326883074,0.002482309200402215,0.0014458688135241798
