feature_group,mask_type,strength,n_rows,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,masked_auc_mean,masked_auc_std,masked_auc_min,masked_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,malware_to_benign_flip_rate_mean,malware_to_benign_flip_rate_std,malware_to_benign_flip_rate_min,malware_to_benign_flip_rate_max,benign_to_malware_flip_rate_mean,benign_to_malware_flip_rate_std,benign_to_malware_flip_rate_min,benign_to_malware_flip_rate_max,mean_probability_shift_mean,mean_probability_shift_std,mean_probability_shift_min,mean_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max
all,important,0.01,5,0.986859954,0.00048614789245491236,0.9864266462500001,0.98776785625,0.8736255790000002,0.08521958920238744,0.71621334375,0.9614428962500001,0.113234375,0.08508694066960232,0.025086766249999837,0.2702133025000001,0.35899000000000003,0.11917196146745257,0.143625,0.482875,0.00056,0.0008897471550951988,0.0,0.002325,0.35842999999999997,0.12001568793286983,0.1413,0.482875,0.3503722811237856,0.11580359282223052,0.1461282893980463,0.4753141942999557,0.34917356869770744,0.11759696127163699,0.1410739905104441,0.47530042385004906
all,important,0.05,5,0.986859954,0.00048614789245491236,0.9864266462500001,0.98776785625,0.8611376015,0.03314501969554688,0.8157471000000001,0.9024481849999999,0.12572235250000002,0.03307799061420054,0.08449797250000024,0.17067954625000004,0.33945,0.09524570200276755,0.156175,0.4144,0.015985000000000003,0.030609273921476807,0.000225,0.0772,0.323465,0.12503087678649621,0.078975,0.414175,0.3303396165978995,0.08924141551059014,0.16375692304563644,0.40499743322481263,0.2961304403680908,0.1497732226678003,0.004882281594633175,0.40468153909787397
all,important,0.1,5,0.986859954,0.00048614789245491236,0.9864266462500001,0.98776785625,0.846954008,0.030340552761091526,0.79124354875,0.8801494449999998,0.13990594600000006,0.030243424034513217,0.10679671250000033,0.19518309750000007,0.30236999999999997,0.08548541600764425,0.155275,0.40745,0.024375,0.03212120405588807,0.000775,0.087025,0.277995,0.11633287089210856,0.06825,0.406675,0.3124343144354207,0.052995821581148586,0.2437684616339188,0.3944746043877069,0.25082289869784286,0.12980622301331607,0.01593169721186611,0.39211081220378446
all,random,0.01,15,0.9868599540000003,0.00048614789245491236,0.9864266462500001,0.98776785625,0.9867254025833333,0.0005585645137271718,0.9860974025,0.98799039625,0.00013455141666673202,0.0002120732101769477,-0.0002225399999999933,0.0005320450000000365,0.011163333333333334,0.01013842470779142,0.0026,0.040975,0.008655,0.01115328501683099,0.000675,0.040975,0.0025083333333333338,0.0026944335624064335,0.0,0.008625,0.011440001081752981,0.01062116181335943,0.002583900092497109,0.043362606888153764,-0.00634158176642092,0.013142569423149291,-0.04335342623902615,0.007225176449266757
all,random,0.05,15,0.9868599540000003,0.00048614789245491236,0.9864266462500001,0.98776785625,0.9840330249166667,0.003655818425138908,0.9722349662499999,0.9872149287499999,0.002826929083333396,0.0035599651473482174,2.750375000026839e-05,0.014294696250000016,0.046520000000000006,0.044798206065273044,0.0108,0.185825,0.012225000000000001,0.01828744104570128,0.0,0.06615,0.034295,0.049290242611156485,0.00015,0.185825,0.046119489731259504,0.04298192244448695,0.011538100807892323,0.17936818397254978,0.02096293769600806,0.05798106404779521,-0.06843391255672093,0.1793572397610668
all,random,0.1,15,0.9868599540000003,0.00048614789245491236,0.9864266462500001,0.98776785625,0.9806824913333334,0.0031485266557358923,0.97445960625,0.9850661212499999,0.006177462666666707,0.0032152378083088666,0.0014635412500000333,0.01196704000000004,0.07239833333333333,0.0502842101348812,0.02035,0.210825,0.033411666666666666,0.05306089337313833,0.000175,0.210825,0.03898666666666666,0.04534561800463439,0.0,0.15265,0.07509126354392574,0.047519697358653926,0.022547462480967267,0.20428263486736165,0.006054184592270565,0.08408798332004759,-0.20427621055415926,0.15315490146945446
header,important,0.01,5,0.97718718075,0.0005563816285982442,0.97625934625,0.9777994225,0.9272557810000001,0.015014612953800474,0.9002681450000001,0.9436614012499999,0.04993139975000001,0.015051684570560043,0.034138021250000095,0.077453875,0.24257,0.024949581158809065,0.207325,0.2846,0.001295,0.000768016926896797,2.5e-05,0.0023,0.241275,0.025656378349252648,0.205025,0.284575,0.2330951284528115,0.024102834417857086,0.19970666069834928,0.2748060369251205,0.23030503963862428,0.025654620093067647,0.19441382229416876,0.2744829614953872
header,important,0.05,5,0.97718718075,0.0005563816285982442,0.97625934625,0.9777994225,0.8917367255,0.030522255193963906,0.85540042,0.92690580625,0.08545045525000003,0.030190918185414178,0.05035012375000014,0.12085892624999994,0.28964999999999996,0.12444766470287821,0.143225,0.42965,0.26625,0.15110171905044628,0.087475,0.429525,0.023399999999999997,0.028299527381212573,0.0,0.063775,0.288942013068686,0.1283620997542102,0.13940643832959546,0.4322482460085335,-0.2453903634560873,0.1779210541317238,-0.43211992521537707,-0.031307981795620755
header,important,0.1,5,0.97718718075,0.0005563816285982442,0.97625934625,0.9777994225,0.78418961325,0.1397292754886372,0.507236295,0.87398583625,0.19299756749999997,0.13958770211337257,0.10373618375000004,0.46980965374999994,0.31083500000000003,0.11714161258920759,0.214025,0.534975,0.10664499999999999,0.11612256821996315,0.0,0.299125,0.20419,0.1829280409068003,0.0177,0.534975,0.30748492184222653,0.11324434751687334,0.22593878831166744,0.5274976409445705,0.09873415263175786,0.27490257972810844,-0.2619804754549394,0.5268127922070401
header,random,0.01,15,0.9771871807500002,0.0005563816285982443,0.97625934625,0.9777994225,0.93536592975,0.05296149935363297,0.81943942625,0.97702835125,0.041821251000000004,0.05289566586910087,1.7597499999966182e-05,0.1582825937500001,0.12904833333333332,0.14952771244451274,0.0,0.445775,0.05510666666666666,0.11654903062183267,0.0,0.445775,0.07394166666666666,0.11794431018728947,0.0,0.41425,0.13478921506082778,0.1542611146375898,5.793893253917304e-05,0.4335225785417526,0.021773546237060414,0.17572597894389227,-0.4308830423044201,0.4191243017505627
header,random,0.05,15,0.9771871807500002,0.0005563816285982443,0.97625934625,0.9777994225,0.9145303405,0.04298939368185927,0.8035628699999999,0.9726136875,0.06265684025,0.04286352356749649,0.00510833250000009,0.17348307875000002,0.23494833333333337,0.13807977569345756,0.04515,0.5076,0.11390666666666666,0.15472650291903953,0.0,0.445325,0.12104166666666667,0.1402884090800884,0.0,0.5076,0.23495578385365404,0.12791804062991954,0.06034517068656006,0.5000544234873131,0.005394547563708488,0.2503082720657417,-0.44328858203618227,0.5000538386083078
header,random,0.1,15,0.9771871807500002,0.0005563816285982443,0.97625934625,0.9777994225,0.8702739866666666,0.05218402893017315,0.7416957599999999,0.93419430125,0.10691319408333336,0.0520181277808538,0.043605121249999934,0.23456358625000007,0.29927333333333334,0.11037993305951142,0.14685,0.4943,0.13998000000000002,0.16750639221633704,0.00045,0.4534,0.15929333333333331,0.14677811044415154,0.0,0.493425,0.3150059989121334,0.09920441411544308,0.17671192675375774,0.4640874332126833,0.004629668934399054,0.2657914355561913,-0.4607946769071417,0.4618061846580959
imports,important,0.01,5,0.9247278722499999,0.0010064952437107324,0.9229801437499998,0.9258737150000002,0.90639602875,0.007616137812355892,0.89189434625,0.9134708475000001,0.018331843499999965,0.007770612022345619,0.012058223749999875,0.03286779125000017,0.064595,0.014986146936420985,0.0499,0.091825,0.060820000000000006,0.017093729844595063,0.043675,0.090775,0.0037749999999999997,0.0024655121171878267,0.000825,0.006625,0.05821914747637069,0.009115302804331312,0.04990137618976084,0.07484804437894205,-0.044755488134932485,0.01618216084082535,-0.07063111497143652,-0.02870210484951204
imports,important,0.05,5,0.9247278722499999,0.0010064952437107324,0.9229801437499998,0.9258737150000002,0.8830907330000001,0.007602934124043291,0.8744769062499999,0.8930774787500001,0.04163713924999997,0.008187146275594642,0.029902664999999717,0.0513968087500003,0.12035,0.019708881246788205,0.099825,0.151325,0.11552500000000002,0.022520612780295296,0.0917,0.15005,0.004825,0.00356640575369657,0.001275,0.01005,0.09654698054979384,0.010571798114850327,0.08117898031702114,0.11262504780003187,-0.07661080156271449,0.019197048147601994,-0.10293795916668107,-0.05209386165415097
imports,important,0.1,5,0.9247278722499999,0.0010064952437107324,0.9229801437499998,0.9258737150000002,0.86395255725,0.012859321523726628,0.84315454,0.8758329475,0.060775314999999976,0.012939041008219422,0.04866134624999985,0.08271917500000014,0.156205,0.01928746613736496,0.1373,0.190925,0.150135,0.02103684624652659,0.130975,0.1891,0.006070000000000001,0.004133654557410427,0.001825,0.012725,0.12640685117220155,0.011490398947126095,0.11306795120367703,0.14555845885692492,-0.09518690248692674,0.018917716479270236,-0.13191016864318356,-0.07928872359591951
imports,random,0.01,15,0.9247278722499999,0.0010064952437107324,0.9229801437499998,0.9258737150000002,0.9250673994166666,0.0010084782632841353,0.9237775500000001,0.9270816449999999,-0.0003395271666666533,0.0009669551590991867,-0.0016463074999999439,0.0018854200000001375,0.004901666666666667,0.0011424924021142936,0.003275,0.006875,0.002273333333333333,0.0009551817744399346,0.0005,0.004475,0.0026283333333333336,0.0015495662475530228,0.00045,0.006025,0.004778139297489578,0.001023663522017836,0.0036073180899698727,0.0066722879242614355,0.0007566109709196322,0.0022527522567967395,-0.0038016323224224686,0.00554720206804603
imports,random,0.05,15,0.9247278722499999,0.0010064952437107324,0.9229801437499998,0.9258737150000002,0.9200983974166667,0.004220180419779948,0.91048015625,0.9238083587499999,0.0046294748333333136,0.004233697630440312,0.0009537787500002448,0.015393558750000147,0.022216666666666666,0.013141238103348135,0.0113,0.05715,0.015380000000000001,0.014399170114975378,0.00515,0.055775,0.006836666666666667,0.0058684315527139696,0.001375,0.0227,0.02126410409868417,0.010739706103549917,0.011881031220879648,0.05090252782505469,-0.006225839238327085,0.014461987587959173,-0.040349212920729474,0.014932778895858345
imports,random,0.1,15,0.9247278722499999,0.0010064952437107324,0.9229801437499998,0.9258737150000002,0.9191267735,0.004480137551476582,0.9073937537499999,0.9237444162499999,0.005601098749999959,0.0043648848385433175,-2.2632500000230316e-05,0.01558638999999995,0.03172666666666667,0.014065425893145063,0.01855,0.06375,0.016349999999999996,0.014987400263777127,0.00155,0.061125,0.015376666666666669,0.014501983963888835,0.0022,0.0564,0.03193783969314641,0.01119945600376667,0.0212271792720447,0.055611068640660254,0.0010790984927127707,0.023281445480981162,-0.043881016628302315,0.05032285556002635
section,important,0.01,5,0.9759963174999999,0.00038157297500285075,0.97537209625,0.9764930112500001,0.83519088125,0.043958353240283535,0.764365875,0.88174979875,0.14080543625000003,0.04395236994896881,0.09362229749999995,0.21155009375,0.220185,0.03529655648926676,0.1733,0.26675,0.163095,0.07732220800003062,0.05285,0.248975,0.057089999999999995,0.059014963356762325,0.008725,0.15715,0.24690118801995506,0.03148045423908292,0.19956493816462986,0.2825185358538083,-0.04350315469044439,0.10427276557274547,-0.14261286465027112,0.12570981673866166
section,important,0.05,5,0.9759963174999999,0.00038157297500285075,0.97537209625,0.9764930112500001,0.77839625675,0.04933823993883256,0.71489907875,0.8378290512500001,0.19760006075,0.049498592824222906,0.13754304499999992,0.26101688999999995,0.27968000000000004,0.07280254356820234,0.1803,0.404825,0.151145,0.06249476058038786,0.0741,0.25845,0.128535,0.09333694150763672,0.031975,0.277375,0.2938431642464686,0.03651842472767316,0.24753823680902629,0.350546582097735,0.0028156020701476047,0.12019580431567393,-0.19286326931650138,0.13013751451431135
