feature_group,mask_type,strength,density_bin,n_rows,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,masked_auc_mean,masked_auc_std,masked_auc_min,masked_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_overall_mean,benign_to_malware_rate_overall_std,benign_to_malware_rate_overall_min,benign_to_malware_rate_overall_max,malware_to_benign_rate_overall_mean,malware_to_benign_rate_overall_std,malware_to_benign_rate_overall_min,malware_to_benign_rate_overall_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max
all,important,0.01,high_density,5,0.9972354106252878,0.00024393288048609393,0.9970007015236924,0.9975783679830571,0.8004955309046892,0.13967805314569304,0.5520133729968167,0.9820917984735964,0.19673987972059864,0.13965708078320796,0.014913588076740258,0.4449873285268756,0.51664,0.21266908190896014,0.0952,0.6597,0.48322000000000004,0.20328428763679696,0.0791,0.615,0.0,0.0,0.0,0.0,0.5045913318006672,0.19834487916777158,0.11697231081500077,0.6491305892878295,0.5044606156633882,0.19853323872833473,0.11646369034149912,0.6491305892878295
all,important,0.01,low_density,5,0.9642542760688443,0.0009096065795938476,0.9628977880169276,0.9655690933046043,0.8793137725481633,0.047713907453863794,0.8064310522949008,0.9235771708590679,0.08494050352068097,0.04717056788199647,0.04036879171609953,0.15754444576081839,0.36814,0.12929918174528407,0.2016,0.548,0.3217,0.12268465266690859,0.1606,0.4887,0.0009600000000000001,0.0013951344021276232,0.0,0.0037,0.36086774058246573,0.12895626557413015,0.19491479587090552,0.5391454873465603,0.35874824378017,0.13143490439509972,0.18608261091203973,0.5391454873465603
all,important,0.01,mid_density,5,0.9883895205704787,0.0008915669412178578,0.986911013509364,0.9894110984365997,0.8850530859385014,0.08071942471211983,0.738883499568447,0.9659050311133948,0.10333643463197735,0.08091228276940522,0.02213309695571064,0.24952632972073163,0.27558999999999995,0.07895590161602868,0.13885,0.3678,0.24066,0.07548908795316048,0.10705,0.32205,0.0004999999999999999,0.0008056053624449131,0.0,0.0021,0.2680150260560047,0.0773827703199489,0.13631302545313953,0.359744468476951,0.26674270767363584,0.07926760939563464,0.13087483039411887,0.35974446839350455
all,important,0.05,high_density,5,0.9972354106252878,0.00024393288048609393,0.9970007015236924,0.9975783679830571,0.7607576039973172,0.07337696447410819,0.6804518113384705,0.86052243538925,0.23647780662797074,0.07338122639790148,0.13648295116108666,0.3165488901852218,0.53656,0.16992700315135317,0.2,0.6457,0.49796000000000007,0.17253939376269986,0.157,0.6035,0.0059,0.011800000000000001,0.0,0.0295,0.5229223806495857,0.15066051537587985,0.23080144050081827,0.6281265577696907,0.5075525523332256,0.1799393517467,0.15556062287157318,0.6281211275242913
all,important,0.05,low_density,5,0.9642542760688443,0.0009096065795938476,0.9628977880169276,0.9655690933046043,0.8930320254571873,0.01584778852630914,0.8633001419957045,0.9093291666407856,0.07122225061165717,0.01588853491330349,0.054616795934381845,0.10067535606001465,0.3021,0.09490342459574364,0.1308,0.3822,0.24339999999999998,0.12115743476980684,0.0158,0.3353,0.01978,0.036918959898675364,0.0004,0.0936,0.29694049117395416,0.09102591262129049,0.1328489040175701,0.37223756572309974,0.24874053496739848,0.17301873221507075,-0.08573330187239464,0.37142776809617967
all,important,0.05,mid_density,5,0.9883895205704787,0.0008915669412178578,0.986911013509364,0.9894110984365997,0.9035475341814868,0.023913235716134868,0.8758333413287454,0.9352995249738988,0.08484198638899192,0.023617247546158737,0.05387800857424718,0.11257648796043329,0.25956999999999997,0.06025350280274168,0.14695,0.3198,0.21296999999999996,0.08413373639628756,0.05025,0.28335,0.015560000000000001,0.03014628335301053,5e-05,0.07585,0.25074779728402896,0.05878915834768835,0.1456886738320787,0.30981280470322997,0.2141143370858695,0.12323090695853843,-0.02514909731032293,0.30958863038551243
all,important,0.1,high_density,5,0.9972354106252878,0.00024393288048609393,0.9970007015236924,0.9975783679830571,0.748640800436329,0.07816913937192244,0.6429825392579318,0.8637994289019013,0.2485946101889589,0.0781085534061993,0.13367642796482193,0.35401816226576055,0.5191399999999999,0.17687206223708704,0.171,0.6414,0.48778000000000005,0.17390060839456542,0.1442,0.5985,0.0051400000000000005,0.008224743157083995,0.0,0.0214,0.5303938262628238,0.11446603899220242,0.3089759653042353,0.61936166001856,0.5080522122898268,0.14770277428482725,0.22052119399935974,0.6188362967163291
all,important,0.1,low_density,5,0.9642542760688443,0.0009096065795938476,0.9628977880169276,0.9655690933046043,0.8887789524967855,0.011839186853618915,0.866215440573537,0.8992128778099955,0.07547532357205869,0.011661706230558774,0.0663562154946088,0.09776005748218208,0.22992000000000004,0.08590069615550273,0.1439,0.3803,0.16608,0.10922844684421729,0.0174,0.3366,0.031380000000000005,0.03800917783904303,0.0014,0.1042,0.23872847366693656,0.07431039967550086,0.15087449580223233,0.3724143823486705,0.1635649615080501,0.1400993625948099,-0.042214622223244125,0.36810302828248387
all,important,0.1,mid_density,5,0.9883895205704787,0.0008915669412178578,0.986911013509364,0.9894110984365997,0.8885377144521567,0.018587301499828953,0.8568756434758693,0.9127566267763088,0.09985180611832212,0.018428856129296144,0.07642090677183722,0.13153418581330933,0.23020999999999997,0.052827790035169936,0.1531,0.30405,0.17905000000000001,0.07957987810998456,0.0425,0.27315,0.025330000000000002,0.036578526487544574,0.00065,0.0976,0.24030747890596107,0.03201302092265035,0.19252483799806905,0.29306118759179844,0.16583721049674724,0.12108935123659678,-0.05728989146432558,0.29075196190816244
all,random,0.01,high_density,15,0.9972354106252879,0.00024393288048609393,0.9970007015236924,0.9975783679830571,0.9972034084588784,0.0003061354103223195,0.9965169958905081,0.9975970589874505,3.200216640925439e-05,0.00017194507970623793,-0.0001927490609829885,0.0005997443121217305,0.005073333333333333,0.004146559484145327,0.0006,0.0138,0.0002733333333333333,0.0005078932521264242,0.0,0.0015,0.0031333333333333335,0.003459030050301513,0.0,0.0103,0.005824536541379949,0.00543546070064774,0.0005711416776146876,0.021139054034387508,-0.0037051377271103665,0.006700609306171006,-0.02113594958094675,0.004637543285491861
