seed,feature_group,mask_type,strength,high_density_flip_rate,low_density_flip_rate,delta_flip_density,flip_density_ratio
13,all,important,0.01,0.6479,0.548,-0.09989999999999999,0.8458095385090292
13,all,important,0.05,0.5769,0.2669,-0.30999999999999994,0.4626451724735657
13,all,important,0.1,0.171,0.1439,-0.027100000000000013,0.8415204678362572
13,all,random,0.01,0.0033333333333333327,0.009033333333333332,0.0057,2.7100000000000004
13,all,random,0.05,0.02893333333333333,0.0694,0.04046666666666668,2.398617511520738
13,all,random,0.1,0.05573333333333333,0.08993333333333332,0.034199999999999994,1.6136363636363635
13,header,important,0.01,0.0616,0.29847015298470153,0.23687015298470154,4.84529469131009
13,header,important,0.05,0.0817,0.20887911208879112,0.12717911208879112,2.556659878687774
13,header,important,0.1,0.0432,0.2976702329767023,0.2544702329767023,6.890514652238479
13,header,random,0.01,0.2662,0.31640169316401695,0.05020169316401696,1.1885863755222275
13,header,random,0.05,0.07186666666666666,0.15665100156651002,0.08478433489984336,2.179744919756633
13,header,random,0.1,0.4238,0.3780955237809553,-0.04570447621904472,0.8921555539899841
13,imports,important,0.01,0.031417393921155584,0.0553,0.023882606078844418,1.7601714559386972
13,imports,important,0.05,0.054468853445681614,0.1051,0.050631146554318385,1.9295430939226519
13,imports,important,0.1,0.08805296418898585,0.135,0.04694703581101416,1.533168147641832
13,imports,random,0.01,0.0013441669174440766,0.0087,0.007355833082555923,6.4724104477611935
13,imports,random,0.05,0.004975423813822852,0.024866666666666665,0.019891242852843813,4.997899193548386
13,imports,random,0.1,0.013200922860868693,0.06226666666666667,0.04906574380579798,4.7168419452887544
13,section,important,0.01,0.1909,0.3924,0.20150000000000004,2.05552645364065
13,section,important,0.05,0.2572,0.3581,0.10089999999999999,1.3923017107309488
13,section,important,0.1,0.3592,0.3689,0.009699999999999986,1.0270044543429844
13,section,random,0.01,3.3333333333333335e-05,0.0109,0.010866666666666667,327.0
13,section,random,0.05,0.06976666666666666,0.10363333333333334,0.033866666666666684,1.4854276158623987
13,section,random,0.1,0.05636666666666667,0.10759999999999999,0.05123333333333332,1.9089296274393848
13,strings,important,0.01,0.6396,0.5439,-0.0956999999999999,0.8503752345215762
13,strings,important,0.05,0.6565,0.5565,-0.09999999999999998,0.8476770753998477
13,strings,important,0.1,0.6557,0.556,-0.0996999999999999,0.8479487570535307
13,strings,random,0.01,0.05586666666666667,0.025333333333333333,-0.030533333333333336,0.45346062052505964
13,strings,random,0.05,0.05783333333333333,0.09753333333333332,0.03969999999999999,1.6864553314121038
13,strings,random,0.1,0.0275,0.06626666666666667,0.03876666666666667,2.4096969696969697
42,all,important,0.01,0.0952,0.2016,0.1064,2.1176470588235294
42,all,important,0.05,0.2,0.1308,-0.06920000000000001,0.6539999999999999
42,all,important,0.1,0.5478,0.1497,-0.39809999999999995,0.2732749178532311
42,all,random,0.01,0.0061,0.013933333333333334,0.007833333333333335,2.2841530054644807
