seed,feature_group,mask_type,repeat,strength,density_bin,n_samples,baseline_auc,masked_auc,delta_auc,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,mean_abs_probability_shift,mean_signed_probability_shift
13,all,important,0,0.01,high_density,10000,0.9974758568667232,0.806645598430139,0.1908302584365842,0.6479,0.6021,0.0,0.6426223528993598,0.6425672712666265
13,all,important,0,0.01,mid_density,20000,0.989177533548146,0.8602997207652116,0.12887781278293442,0.3678,0.32205,0.0,0.359744468476951,0.35974446839350455
13,all,important,0,0.01,low_density,10000,0.9628977880169276,0.8382898152087174,0.12460797280821023,0.548,0.4887,0.0,0.5391454873465603,0.5391454873465603
13,all,random,1,0.01,high_density,10000,0.9974758568667232,0.9974581219500165,1.773491670675753e-05,0.003,0.0,0.0023,0.002850382240482577,-0.0024316264460961974
13,all,random,1,0.01,mid_density,20000,0.989177533548146,0.9890979117476327,7.962180051324097e-05,0.0047,0.0003,0.0034,0.004105246888254634,-0.0022819970251467137
13,all,random,1,0.01,low_density,10000,0.9628977880169276,0.9628102460663036,8.754195062399273e-05,0.0052,0.0004,0.0025,0.006977216376592452,-0.004067198874879796
13,all,random,2,0.01,high_density,10000,0.9974758568667232,0.9974723943353662,3.4625313570790794e-06,0.0057,0.0002,0.0043,0.005723864609352677,-0.004134505228441776
13,all,random,2,0.01,mid_density,20000,0.989177533548146,0.9885674456778608,0.0006100878702851587,0.01315,0.001,0.00785,0.011968722934418894,-0.0060300475680985545
13,all,random,2,0.01,low_density,10000,0.9628977880169276,0.9618015803255395,0.0010962076913880736,0.017,0.0029,0.0081,0.01693817210000006,-0.003263796106350806
13,all,random,3,0.01,high_density,10000,0.9974758568667232,0.9974474809999926,2.8375866730656618e-05,0.0013,0.0,0.0011,0.0006813667008786524,-0.0006128563372517874
13,all,random,3,0.01,mid_density,20000,0.989177533548146,0.9891398035992734,3.7729948872522456e-05,0.0036,0.0009,0.00115,0.003484478899501272,-0.0003799092836715123
